x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
x-ray chest posteroanterior (pa) view showing bilateral patchy consolidation involving lower lobes,,,,,,,
chest x-ray showing sclerosis and multiple nodules with cavitations in upper and medium lung zones bilaterally.,,,,,,,
chest x-ray post stent,,,,,,,
post taping chest x-ray shows multiple irregular pleural masses,,,,,,,
chest x-ray performed after transplantation. two drains inserted in right pleural cavity and catheter in right carotid internal vein are visible,,,,,,,
"chest x-ray of case 2 showing dextrocardia, the gastric bubble on the right side and the liver on the left side",,,,,,,
chest x-ray showing complete resolution of symptoms at the end of anti-biotic therapy.,,,,,,,
chest x-ray shows opacity at the lower part of the left hemithorax.,,,,,,,
chest x-ray showing a 4.3 cm right upper lobe lung mass.,,,,,,,
chest x-ray of the 6 y/o girl after the incident. massive pleural effusion and air fluid level; foreign body in the right chest at the anatomical site of the esophagus and radiological signs of perforation.,,,,,,,
chest x-ray showing bilateral diffuse high density micro-nodular opacities.,,,,,,,
"chest x-ray revealed multiple bilateral round to oval, nodular opacities of homogeneous density, ranging in diameter from 0.5 to 2.0 cm suggestive of cannon ball opacities",,,,,,,
chest x-ray revealed a voluminous opacity of the right upper pulmonary lobe,,,,,,,
plain chest x-ray of a sheep during vv ecmo. note the visualisation of only the access cannula within the inferior vena cava.,,,,,,,
chest x-ray showing bilateral hilar lymphadenopathy together with lower bilateral interstitial lung densities.,,,,,,,
chest/abdomen x-ray showing right pneumothorax and also air under diaphragm suggesting perforated viscus.,,,,,,,
"chest x-ray of patient one showing fracture of the right clavicle, third and fourth ribs with hemopneumothorax and left hemothorax",,,,,,,
chest x-rays after the operation show the right diaphragm to be fixed in the normal location.,,,,,,,
"chest x-ray taken after tube thoracostomies were inserted. note multiple rib fractures, subcutaneous emphysema, multiple lung opacities, particularly on the right, corresponding to sites of lung contusion and residual pneumothorax on the left side.",,,,,,,
chest x-ray on admission.,,,,,,,
chest x-ray just before transvenous pacemaker implantation at the age of 10 (2006.12.22).,,,,,,,
,,representative image of an abdominal plain x-ray performed 24 h later. we confirm the tip of the feeding tube located in the proximal jejunum regurgitation of the contrast medium into the stomach. arrow indicates the tip of the feeding tube located in proximal jejunum.,,,,,
chest x-ray showing the tip of catheter in the right atrium.,,,,,,,
chest x-ray showing multiple variable sized nodules predominating in the inferior areas of the lungs.,,,,,,,
repeated chest x-ray.,,,,,,,
"chest x-ray (posterior anterior view) of a 22-year-old nigerian man showing dextrocardia, with the cardiac apex pointing to the right. his aortic arch was located on the right. his stomach bubble was located below his right hemidiaphragm. his hepatic opacity was located below his left hemidiaphragm. his trachea was slightly deviated to the left",,,,,,,
,,the abdominal x-ray film revealed the course of the peritoneal catheter (arrow).,,,,,
"chest x-ray appearances of a dual chamber icd. green arrow: battery and pulse generator. red arrow: right atrial appendage lead (bradycardia sensing and pacing). white arrow: right ventricular lead (bradycardia sensing and pacing, anti-tachycardia pacing and defibrillation).",,,,,,,
"x-ray chest, posteroanterior (pa) view",,,,,,,
postoperative chest x-ray demonstrated healing of right mediastinal shift and midline located trachea.,,,,,,,
,,pelvic/abdominal x-ray showing osteopenia.,,,,,
chest x-ray showing bilateral patchy ground-glass infiltrates.,,,,,,,
chest x-ray read as normal,,,,,,,
"chest x-ray, showing a normal pattern",,,,,,,
"antero-posterior chest x-ray revealing the guidewire passing through the internal jugular vein, superior vena cava, right atrium and inferior vena cava.",,,,,,,
mediastinal emphysema and diffuse haziness in chest x-ray,,,,,,,
chest x-ray showed fractured central venous catheter and embolization of distal portion of the catheter.,,,,,,,
preoperative chest x-ray showing bullae in right upper and lower lobe and giant bullae in left upper lobe,,,,,,,
plain chest x-ray showing curled back orogastric tube at proximal oesophagus (arrow).,,,,,,,
follow-up ap chest x-ray 11 days after initial presentation demonstrates resolution of the left tension hemopneumothorax after surgical drainage. a large circumscribed rounded mass at the left midchest has developed (arrow).,,,,,,,
pa chest x-ray showing shadow representing anomalous pulmonary vein coursing alongside right heart border caudally.,,,,,,,
x-ray chest showing elevated right dome of diaphragm.,,,,,,,
chest x-ray showed pneumomediastinum.,,,,,,,
the chest x-ray demonstrates extensive subcutaneous emphysema and pneumopericardium (red arrows).,,,,,,,
post-anterior chest x-ray showing the pleura-based nodules (arrows) in the left hemithorax.,,,,,,,
chest x-ray showing a mass with well-defined borders. pulmonary parenchyma with preserved transparency.,,,,,,,
chest x-ray on the sixth postoperative day showing the complete restoration of the right hemidiaphragm.,,,,,,,
chest x-ray pa view showing multiple nodular opacities,,,,,,,
,,supine abdominal x-ray.,,,,,
"chest x-ray pa view; on the day of admission, showing homogeneous opacity right mid and lower chest",,,,,,,
baseline chest x-ray showing opacity involving the right middle and lower lung,,,,,,,
regression of nodular lesions at the postoperative 2nd month follow-up chest x-ray following chemotherapy.,,,,,,,
,,,,,,,postdelivery x-ray of the pelvis demonstrating two curvilinear triangular-shaped structures composed of 2 radiopaque threads in the vaginal/rectal area.
preoperative chest x-ray: essentially normal.,,,,,,,
chest x-ray showing widening of the right paratracheal stripe.,,,,,,,
chest x-ray 1 week after discharge—complete resolution of pleural effusions.,,,,,,,
,,air-fluid level in abdominal x-ray.,,,,,
,,plain abdominal x-ray demonstrating large left-sided kidney stone.,,,,,
,,abdominal x-ray showing air fluid level with a dilated loop of sigmoid colon.,,,,,
,,"plain abdominal x-ray of a patient with dilated loop of the small intestine during a crises period of chronic intestinal pseudo-obstruction (cipo). plain abdominal x-rays corresponds to a woman, 48 years old, diagnosed with cipo. it is noted that only dilated loops of small intestine are seen. currently, the patient is deceased.",,,,,
chest x-ray taken at the scene revealing air density occupied in heart chambers (arrow) and hepatic vasculatures and splenic vein (arrow heads) indicating a massive air embolism.,,,,,,,
chest x-ray after the procedure.,,,,,,,
x-ray chest pa view showing large opacity of entire left hemithorax with mediastinal shift.,,,,,,,
chest x-ray showing cardiomegaly and an oval shaped calcified structure related to anterio-apical left ventricular aneurysm.,,,,,,,
a chest x-ray demonstrating pneumothorax (arrow head) in the left hemithorax.,,,,,,,
"preoperative chest x-ray of the patient, performed following device embolization. the arrow points very clearly to the septal occluder device in the right pulmonary artery",,,,,,,
chest x-ray showing atelectasis of left upper and middle lobes with hyperinflation of the right lung.,,,,,,,
,,postoperative abdominal x-ray.,,,,,
,,abdominal x-ray showing calcified descending aorta.,,,,,
chest x-ray on pod 1 showing no remarkable findings except a little increased opacity on left chest wall.,,,,,,,
a 29-year-old female with respiratory symptoms and confirmed h1n1 infection.chest x-ray shows extensive bilateral air-space opacities mainly in the lower zones.,,,,,,,
"chest x-ray posterior-anterior (pa) view showing the presence ofa linear opacity with a bifid appearance, similar to the ribs in the left upper zone and adjacent to the d2-d3 vertebrae",,,,,,,
chest x-ray of case 3 who died of fallot's tetralogy. the picture exhibits vertebral and rib malformations and fusions along with thoracic scoliosis.,,,,,,,
"a chest x-ray, anteroposterior view, shows multiple nodules of varying sizes diffusely scattered in bilateral lung fields",,,,,,,
"plain x-ray of chest, left lateral view (on admission)",,,,,,,
a chest x-ray of a patient with a cd4 count <200/mm3 showing perihilar ground-glass appearance in the shape of bats-wings,,,,,,,
"chest x-ray conducted 24 years ago, displaying a trachea enlargement without any signs of fibrosis.",,,,,,,
"a chest plain radiograph (x-ray) showing bilateral pleural effusion, partial bibasilar atelectasis, and linear pleural calcifications involving the right lung.",,,,,,,
chest x-ray. right paratracheal soft tissue opacity measuring approximately 4 × 4 cm. elevation of the right hemidiaphragm with a linear density in the right lower lung consistent with atelectasis.,,,,,,,
chest x-ray showing a new patchy right lower lobe opacity consistent with pneumonia and persistent pneumopericardium (day 17).,,,,,,,
chest x-ray shows transvenous active ventricular lead implantation via the persistent left superior vena cava and coronary sinus,,,,,,,
chest x-ray showing an air density in left lung fields,,,,,,,
"chest x-ray showing a left side mediastinal mass. a homogeneous, soft tissue, dense, well-defined lesion in the left lung (white arrow) extending from the aortic knuckle to the left hemidiaphragm. its medial margin merges with the mediastinum and there is a left-sided mild to moderate pleural effusion (black arrow)",,,,,,,
chest x-ray on admission showing left pleural effusion.,,,,,,,
"a simple chest x-ray shows a 1.9×1.7 cm hyperdense, ovoid lesion in the lingual segment (arrow).",,,,,,,
"chest x-ray (november 08, 2013): pulmonary interstitial infiltrates suggestive of pulmonary congestion and cardiomegaly.",,,,,,,
chest x-ray with bilateral pulmonary edema signs,,,,,,,
chest x-ray on follow-up visit after 15 days showing significant resolution of reticular shadows,,,,,,,
chest x-ray ap view. calcified anterior mediastinal structure. large right-sided pleural effusion.,,,,,,,
"chest x-ray showing multiple bilateral lungs patches with the differential diagnosis of secondaries, miliary tuberculosis, or mycetoma infiltrations.",,,,,,,
chest x-ray - showing complete loss of guide wire inside vein with arrow pointing tip in subclavian vein,,,,,,,
,,abdominal x-ray.,,,,,
,,supine abdominal x-ray shows multiple dilated small bowel loops with absent rectal gas shadows,,,,,
posteroanterior chest x-ray image one week before the patient’s transfer to the respiratory intensive care unit (ricu). no significant finding was observed on the x-ray image at this date (december 2015),,,,,,,
chest x-ray demonstrating massive cardiomegaly with oligemic appearing lung fields,,,,,,,
,,an abdominal x-ray showing air filled giant diverticulum.,,,,,
,,abdominal x-ray showing air-fluid level on the left,,,,,
chest x-ray of case 1 taken on admission. abrupt termination of left main stem air shadow and collapse of left lung suggest complete obstruction of left bronchial tree.,,,,,,,
chest x-ray showing left-sided massive pleural effusion with contralateral shift of mediastinum,,,,,,,
chest x-ray with right hemidiaphragm paralysis.,,,,,,,
"chest x-ray demonstrating a pulmonary artery catheter inadvertently placed via the right carotid artery into the thoracic aorta. despite pressure waveform monitoring, erroneous placement was not noticed until a post-procedure chest was obtained. the catheter was removed immediately. follow-up carotid ultrasound was unremarkable for arteriovenous (av) fistula or pseudoaneurysm. this patient had no residual complications as this complication was immediately recognized and managed",,,,,,,
chest x-ray one month after suspending the bromocriptine.,,,,,,,
"the chest x-ray, lateral view demonstrating bone metastasis.source: a dixit",,,,,,,
chest x-ray taken before chemotherapy; there was no abnormality.,,,,,,,
chest x-ray on admission. this x-ray image shows a large right-sided pleural effusion.,,,,,,,
,,linear calcification of the descending aorta.note: note the tenckhoff catheter in the abdominal cavity; the x-ray was taken the day after catheter insertion.,,,,,
pretreatment chest x-ray.,,,,,,,
the final chest x-ray turned out to show total haziness of left thorax.,,,,,,,
"preoperative chest x-ray. enlargement of the upper and middle mediastinum, mild tracheal deviation to the left, and tracheal stenosis, at the level of the aortic arch. the chest x-ray showing deviated trachea and enlarged upper mediastinum due to retrosternal goiter.",,,,,,,
chest x-ray of the patient at admission.,,,,,,,
initial anteroposterior (ap) chest x-ray demonstrates left tension hemopneumothorax with contralateral mediastinal shift. the arrows mark the left lung visceral pleural line. the metallic paperclip overlying the left midchest marks the skin entry stab wound site on the patient’s back.,,,,,,,
chest-x-ray with abandoned lv lead fragment after extraction failure.,,,,,,,
x-ray neck and chest pa view showing impacted coin.,,,,,,,
(chest x-ray on day 1 of admission). opacification predominantly involving the right mid zones. there are adjacent nodular opacities with large cavitatory lesion at the right upper zone. right heart border is obliterated. mediastinum has shifted to right. no pleural effusions or bony erosions.,,,,,,,
,,abdominal x-ray showing dilatation of the small bowel.,,,,,
the preoperative chest x-ray showing mediastinal shifting and asymmetric thorax.,,,,,,,
example of an x-ray fluoroscopic image of the chest phantom and the marker. the marker was moved sinusoidally between a and b.,,,,,,,
chest x-ray of case 1 at the presentation.,,,,,,,
chest x-ray showing guide wire of catheter had entered in the inferior vena cava (ivc) via the right internal jugular vein,,,,,,,
plain chest x-ray shows no pleural effusion or metastasis. upward displacement of the diaphragm affecting air entry into the lower lobes of lungs (explains patient's tachypnea).,,,,,,,
chest x-ray shows a posterior mediastinal mass.,,,,,,,
,,abdominal x-ray revealing several air-fluid levels of the small bowel and a large air-fluid level of the sigmoid colon.,,,,,
"after administration of antibiotics, the patient's chest was clear and x-ray showed complete resolution of the infiltrates.",,,,,,,
chest x-ray of the patient on follow up.,,,,,,,
,,abdominal x-ray showing lucency outlining the right crus of the diaphragm and extending along the right psoas muscle.,,,,,
,"posterior-anterior x-ray subtraction angiogram obtained during tracer injection via a guide catheter placed in the right cca in a macaque. major cerebral vessels are annotated: cca-common carotid artery, eca-external carotid artery, ica-internal carotid artery (supplying the brain), mca-middle cerebral artery, m1-branch of the mca. white arrow at the top indicates the midline of the brain.",,,,,,
chest x-ray on day 1 showing bilateral basal infiltration.,,,,,,,
,,standing abdominal x-ray showing severe dilatation of bowel loops.,,,,,
,,"abdominal x-ray showing the position of the feeding tube. abdominal x-ray examination after the placement of the feeding tube in patient 8. loop formation in the stomach (one arrow), the location of the tube in the duodenum (two arrows) and the contrast medium lining the jejunal wall (three arrows) are indicated.",,,,,
"chest x-ray revealing enlarged heart, but neither pleural nor parenchymal abnormalities",,,,,,,
,,abdominal x-ray.,,,,,
a 6-year-old child postmitral valve repair with congested chest x-ray and dyspnea: two-dimensional echocardiography and m-mode tracing in the parasternal long-axis view show dilated left chambers and depressed cardiac function with an estimated ejection fraction of 27.8% and fractional shortening of 11.9%.,,,,,,,
day 1 chest x-ray suggestive of interstitial edema,,,,,,,
"follow-up chest x-ray suggesting erosion of right ventricular lead into the pleural space and into the chest wall. anatomically, this corresponded to the cutaneous bruising",,,,,,,
,,,,,"on x-ray and us, the metallic foreign body is seen in the right hepatic lobe.",,
chest x-ray on 3rd post-op day showing prominent left sided collapse/ consolidation,,,,,,,
chest x-ray of the patient with belly dancer's dyskinesia showing apparently normal study,,,,,,,
,,,,,x-ray photographs of nnk-treated rats. x-ray photographs showed the carcinogenic iodized oil located in the left lobe after instillation.,,
chest x-ray illustrating right basal consolidation.,,,,,,,
chest x-ray pa – consolidation and reticular changes in the right inferomedial lung field.,,,,,,,
chest x-ray showed cardiomegaly and increased vascularity of the proximal portion of both pulmonary arteries.,,,,,,,
radiological recovery of the patient on chest x-ray,,,,,,,
postoperative chest x-ray – complete reexpansion of the right lung,,,,,,,
chest x-ray on admission showed bilateral pulmonary edema.,,,,,,,
"x-ray abdomen and chest antero-posterior view after removal of both ureteric catheters and insertion of bilateral pigtail catheters as percutaneous nephrostomies (arrow head: pigtail catheter in left renal pelvis, thick arrow: pigtail catheter in right renal pelvis)",,,,,,,
chest x-ray taken ten minutes after partial decompression of left sided tension pneumothorax (patient still requiring positive pressure ventilation).,,,,,,,
erect chest x-ray a few hours later demonstrated contrast medium extravasation accompanied with large pleural effusion.,,,,,,,
chest x-ray. chest x-ray revealing solid tissue intensity shades in the left lung field.,,,,,,,
preoperative chest x-ray,,,,,,,
,,abdominal x-ray—multiple air fluid levels.,,,,,
chest x-ray from case 1 showing a large right-sided pneumothorax with an orogastric tube (arrows) malpositioned in the right hemithorax.,,,,,,,
chest x-ray showed an abnormal shadow in the left lung field (arrow).,,,,,,,
preoperative chest x-ray,,,,,,,
,,"upright abdominal x-ray of case 2, a male 64-year-old japanese. excess air and niveau in the intestine were revealed.",,,,,
chest x-ray that shows the central venous catheter in uncertain position.,,,,,,,
no residual lesion on chest x-ray on follow-up.,,,,,,,
chest x-ray (p-a view) after open-heart surgery showing absence of the white shadows.,,,,,,,
x-ray of chest showing global cardiac enlargement,,,,,,,
follow up chest x-ray shows considerable reduction in the soft tissue previously noted in relation to the right paratracheal stripe,,,,,,,
chest x-ray in pa (posterior anterior) view is normal,,,,,,,
chest x-ray demonstrating a left hilar mass.,,,,,,,
chest x-ray of patient showing bilateral hilar lymphadenopathy and few diffuse reticulonodular opacities in both lung fields,,,,,,,
postoperative chest x-ray with reexpansion of a large portion of the right lung.,,,,,,,
a posteroanterior view of chest x-ray showing an abnormal distal tracheal air shadow (arrow) and the absent left aortic knuckle.,,,,,,,
chest x-ray shows right-sided pneumothorax and pleural effusion.,,,,,,,
an anterio-posterior chest x-ray was unremarkable for any tuberculotic lesions excluding the co-existence of pulmonary tuberculosis.,,,,,,,
chest x-ray with homogenous consolidation in the left lower lung field.,,,,,,,
chest x-rays of the patient showing a tension pneumothorax on the left side with mediastinal shift.,,,,,,,
chest x-ray of case 4 showing right middle and lower lobe opacity,,,,,,,
,,abdominal x-ray with dilated small bowel (yellow arrows) and fecal impaction (black arrows).,,,,,
chest x-ray of the patient shows normal findings.,,,,,,,
plain chest x-ray showing linear air lucency on the left border of mediastinum (arrows) and subcutaneous emphysema in the supraclavicular area and the neck.,,,,,,,
chest x-ray showed right lower zone consolidation with pleural effusion and peripherally multiple nodular opacities.,,,,,,,
"thirty-minute post-operative chest x-ray, showing diffuse infiltrates more in mid-zone perihilar region, obvious air shadow in gastric fundus",,,,,,,
chest x-ray obtained after second operation that demonstrates improved aeration of the right lung,,,,,,,
,,"abdominal x-ray showing an elliptical radiopaque image, with ∼7 cm in its highest diameter in topography of the bladder. copyright by the brazilian society of nephrology [4]",,,,,
anteroposterior projection of chest x-ray revealed cardiomegaly with increased vascular markings,,,,,,,
lateral chest x-ray; right upper lung cavitary lesion.,,,,,,,
a chest x-ray of the mother reveals consolidation at bilateral upper lung field.,,,,,,,
chest x-ray showing new onset infiltrates,,,,,,,
chest x-ray showing relatively normal lung fields at the time of discharge,,,,,,,
chest x-ray,,,,,,,
miliary tuberculosis with recurrent left sided pneumothorax) chest x-ray postero-anterior view showing a recurrent left sided pneumothorax with miliary mottling,,,,,,,
chest x-ray shows enlarged heart and increased markings in both lung fields.,,,,,,,
chest x-ray showing mild cardiomegaly and clear lung fields,,,,,,,
"follow-up chest x-ray. at a follow-up, a posteroanterior chest x-ray view shows normalized heart size at 16 months after thyroid hormone supplementation and heart failure treatment.",,,,,,,
initial chest x-ray showing non-homogenous opacity in the left lower zone with blunting of left costo-phrenic angle.,,,,,,,
chest x-ray demonstrating the right tracheal bronchus (red arrow pointing at bronchial orifice).,,,,,,,
follow up chest x-ray obtained 6 days after corticosteroid treatment showing near complete resolution of patchy airspace opacities bilaterally.,,,,,,,
the x-ray of the patient with a chest tube placed.,,,,,,,
chest x-ray showing pulmonary edema.,,,,,,,
x-ray of the chest shows foreign body in right bronchus.,,,,,,,
x-ray chest,,,,,,,
left upper lobe round infiltrate in chest x-ray.note: the arrow indicate the cavitary lesion in the lung.,,,,,,,
chest x-ray film (the patient on admission of icu).the left lung was severe compared to the right lung.,,,,,,,
routine chest x-ray examination shows a large coin lesion in the right upper lung field.,,,,,,,
chest x-ray findings. right-sided pneumothorax occurred on the tenth day of hospitalization.,,,,,,,
chest x-ray depicting abnormal position left internal jugular catheter.,,,,,,,
chest x-ray on presentation to emergency department,,,,,,,
"chest x-ray of a 28-year old man with thalassemia intermedia who was receiving hydroxyurea, paraspinal masses are evident.",,,,,,,
a profile chest x-ray showing a retrosternal tumor.,,,,,,,
ap chest x-ray demonstrating diffuse patchy opacification.,,,,,,,
postero-anterior chest x-ray showing crescent-like pericardial calcification. note also that calcification in the pleura overlying right lower lung.,,,,,,,
"ct image from a 48-year-old male patient diagnosed with hepatocellular carcinoma. the followup unenhanced ct of 18f-fluoride pet/ct, in the lung window, revealed numerous tiny pulmonary nodules in the bilateral lungs (arrows). the largest nodule was 0.6 cm in size and none of these nodules were visualized by concurrent chest x-ray.",,,,,,,
chest x-ray showing hyperlucency in right upper and middle zone with slight shift of mediastinum to the left,,,,,,,
,,abdominal x-ray consistent with a partial small bowel obstruction.,,,,,
,,,,,,,"central axial computed tomography slice showing the three-dimensional conformal radiotherapy plan. the treatment target was the whole-liver. two radiation fields, with left anterior oblique and right posterior oblique beams, both consisting of 15 mv x-rays, were used to cover the target."
chest x-ray posterioranterior view showing malpositioning of the central venous catheter from right to left subclavian vein,,,,,,,
chest x-ray at the time of last follow-up.,,,,,,,
second follow-up chest x-ray posterior–anterior view after 6 weeks of treatment showing significant radiological improvement with decreased pleural effusion (left),,,,,,,
chest x-ray showing multiple pulmonary nodules.,,,,,,,
"chest x-ray following ligation of thoracic duct and removal of drains, pod12.",,,,,,,
chest x-ray of the child 4 months before referral. the cxr shows collapse and tram tracks of the right upper lobe and increased peribronchial and interstitial markings of the right lower lobe.,,,,,,,
"chest x-ray. chest x-ray showing massive diffuse parenchymal infiltration, predominantly of the left lung",,,,,,,
chest x-ray pa view showing multifocal pneumonia.,,,,,,,
cryptococcosis. chest x-ray shows a less-frequently seen cavitation due to cryptococcosis in an acquired immunodeficiency syndrome patient,,,,,,,
chest x-ray from hospital day 3 showing worsening bibasilar opacities.,,,,,,,
chest x-ray of a patient with solitary pulmonary nodule,,,,,,,
chest x-ray showing bilateral pneumothorax with a flattened diaphragm and sharpened costophrenic angle.,,,,,,,
postoperative chest x-ray showing the chest tube inserted through the mediastinal incision to the contralateral thoracic cavity.,,,,,,,
chest x-ray pa view showing a heterogeneous opacity in the left lower zone.,,,,,,,
chest x-ray- bilateral patchy opacities.,,,,,,,
the confirmation of right re-expansion by chest x-ray. re-expansion pulmonary edema is also seen.,,,,,,,
chest x-ray shows increased bronchial wall thickening and diffuse infiltration on both lungs.,,,,,,,
chest x-ray showing high altitude pulmonary edema,,,,,,,
chest x-ray. enlargement of pericardial sillouette.,,,,,,,
chest x-ray pa view showing mediastinal mass,,,,,,,
postoperative chest x-ray,,,,,,,
chest x-ray anteroposterior at admission (sitting).,,,,,,,
chest x-ray showing the intestine in the left lung field (black arrows).,,,,,,,
chest x-ray showing right paratracheal mass,,,,,,,
chest x-ray of the patient showing icd catheters in situ with pneumothorax on the right side,,,,,,,
chest x-ray at the time of admission showing cardiomegaly and blunting of both the cardiophrenic angles,,,,,,,
chest x-ray showing opacity in the left hemithorax,,,,,,,
,,"x-ray plain abdominal imaging shows dilatation and air-fluid level within intestine, and multiple high-density nodules with clear boundary in pelvic cavity (arrow).",,,,,
chest x-ray,,,,,,,
semiupright chest x-ray demonstrating absence of pneumoperitoneum.,,,,,,,
42-year-old previously healthy man presented to the hospital with 6 weeks of progressively worsening exertional dyspnea and non-productive cough diagnosed with pulmonary tumor thrombotic microangiopathy (pttm) secondary to gastric adenocarcinoma. chest x-ray posterioanterior (pa) view shows diffuse fine reticular (arrow) and nodular (arrowhead) opacifications.,,,,,,,
chest x-ray after lvad implantation.,,,,,,,
