computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,abdominal enhanced computed tomography of the pelvis demonstrating a large mass with numerous nodules (arrow).,,,,,
,,,,,computed tomography scan of coronal showing the lesion involving the left maxillary sinus,,,,
chest computed tomography demonstrates thrombus (arrow) in the transverse aorta (sagittal view).,,,,,,,,,
,,,,,,,computed tomography scan of the thorax showing clearing of the lesion in the right intermediate lobe bronchus,,
,,,,,,,ct scan of middle abdomen showing a subcapsular hepatic hematoma on the surface of the right lobe of liver (hypodense area indicated by the arrows) in which is present a source of active bleeding (circle). ct = computed tomography.,,
,,,,,46-year-old female with intermittent episodes of nasal bleeding diagnosed with lobular capillary hemangioma. computed tomography of paranasal sinuses (coronal section) bone window reveals the lesion (white arrow) is closely attached to the nasal septum with no underlying destruction or remodeling of the underlying bones.,,,,
,,,,,,,,three years post-operative computed tomography scan showing no signs of the tumor and good repair without sinus invasion,
,,,,,"a computed tomography scan revealed a cystic lesion with a hydroaeric level (arrow) in the axial images (fig. 1) and an intra-extra laryngeal component on the right side with extension through the thyrohyoid membrane of 5 cm × 3 cm × 2.5 cm which could be determined in the coronal sections (fig. 2), with airway collapse, compatible with a superinfected mixed laryngocoele, associated with emphysema in the deep planes of the neck (asterisk).",,,,
,,,,abdominal computed tomography scan (coronal view) showing situs inversus totalis and a bile duct stone (white arrow) and multiple gall bladder stones.,,,,,
positron emission tomography-computed tomography chest image demonstrates a localized mass in right posterior mediastinal/ paraspinal region with maximum standardized uptake value of 6.6,,,,,,,,,
"computed tomography scan of chest shows right-sided hemothorax, left pleural effusion, and pericardial effusion",,,,,,,,,
contrast-enhanced computed tomography of the chest and abdomen revealed aneurysmal dilatation of lower thoracic and upper abdominal aorta from d9 to origin of coeliac trunk. dissection noted at d9 to d12 level with erosion of d12,,,,,,,,,
,,,,abdominal computed tomography scan: a heavily triple tissular mass with greasy and osseous constituent (= 10 cm).,,,,,
,,,,,coronal computed tomography images showing hematoma in the left brachialis muscle,,,,
,,,,,preoperative coronal computed tomography section with details showing the sphenoid's lateral wall opacification and dehiscence with partial opacification of the lateral sphenoid's recess.,,,,
,,,follow-up computed tomography scans 2 weeks later improving state of brain swelling and midline shift to right side.,,,,,,
an axial view of chest angio-computed tomography demonstrates acute aortic dissection in the proximal ascending aorta.,,,,,,,,,
,,,,"more proximal computed tomography demonstrating left accessory renal artery arising from origin of abdominal aortic aneurysm that was supplying the lower pole tumour, the superior aspect of which can also be visualised",,,,,
,,,,,,contrast enhanced computed tomography (ct) demonstrates a 7 cm sized proximal right subclavian artery aneurysm and intraluminal yin-yang appearance due to thrombus.,,,
,,,,,,,,,"pre-operative computed tomography demonstrating multiple cysts in the liver, anterior surface of the pancreas and kidneys."
,,,"axial computed tomography scan of the brain at day nine after presentation. there are contrast enhancement of (a) the right caudate nucleus, (b) the right medial geniculate nucleus and thalamus, and (c) the cerebellar tentorium. these enhancements are consistent with tuberculomas and leptomeningeal infiltration by mycobacterium tuberculosis.",,,,,,
,,,,"abdominal computed tomography scan showing fluid and air collection in the right retroperitoneum. to block further bile and pancreatic juice leakage, a self-expandable stent (arrow) was inserted at the distal common bile duct as conservative treatment.",,,,,
chest computed tomography scan showing parenchymal destruction associated with lymphangioleiomyomatosis in a patient with tuberous sclerosis complex.,,,,,,,,,
"chest computed tomography scan taken 3 months after initiation of voriconazole, showing decreased lung consolidation but a residual lesion.",,,,,,,,,
,,,,abdominal computed tomography scan showing an inhomogenous soft tissue mass that is target- or sausage-shaped in an ileo-colonic intussusception caused by intestinal tuberculosis (arrow).,,,,,
,,,,,,carotid artery calcification detected by multi-detector computed tomography at the initiation of hemodialysis was seen at the origin of the bilateral internal carotid arteries and left external carotid artery (arrows).,,,
computed tomography scan of the chest showing heterogeneously enhancing soft tissue density in the left upper lobe,,,,,,,,,
,,,,,,,,multi-detector computed tomography view. a small tumor 10 mm in diameter was located in the second portion of duodenum and was weakly enhanced with contrast medium (arrowhead).,
,,,,"abdominal computed tomography shows a 5 cm smooth margined low-attenuating mass in the right lobe of liver (segment v), containing multiple central septations.",,,,,
chest computed tomography scans showing a 2.5-cm nodule (arrow) in just the medial aspect of the truncus anterior pulmonary artery and the right upper lobe with no evidence of lymph node enlargement in the mediastinum.,,,,,,,,,
,,,computed tomography (ct) scan of brain on post-operativeday 1 demonstrating the catheter tip just above the level of the sellaturcica. arrow points to catheter tip,,,,,,
,,,"ct axial image of the brain showing high density in the basilar artery (arrow) suggestive of thrombosis. ct, computed tomography; ba, basilar artery.",,,,,,
,,,,,"ct coronal reconstructed image showing thrombus in the sma with contrast-filled smv to the right of sma. mild dilated small bowel loops seen. ct, computed tomography; sma, superior mesenteric artery.",,,,
,,,,,,calcification of aortic valve leaflets shown in multi-slice computed tomography imaging. a fragment of coronary stent is visible in the right coronary artery (segment 2). minute calcifications are also visible in the left anterior descending and circumflex branch. disseminated coronary artery atherosclerosis often accompanies avs.,,,
,follow-up computed tomography showed the norm of the left lung on postoperative 12 months.,,,,,,,,
,,,,,reconstructed coronal computed tomography (ct) image. a  =  aorta; t  =  tortuousity; cmt  =  common celiacomesenteric trunk; lr  =  left renal artery.,,,,
,,,,abdominal computed tomography images revealing duodenal bulb deformities (white arrows) and a markedly dilated stomach with residual food.,,,,,
,,,,abdominal computed tomography scan showing right paracaval mass.,,,,,
,,,,,,,initial abdomen computed tomography shows about 9 cm lobulating low attenuating mass with peripheral rim enhancement with enhancing septum like structures in the left lobe of the liver.,,
,,,,abdominal plain computed tomography scan. markedly increased liver density is observed.,,,,,
,,,,,coronal reformatted image of a post-contrast computed tomography showing mass in the oropharynx with calcification (blue arrow) and the residual cystic hygroma (black arrow) in the left side of the neck,,,,
,,,,,coronal recon computed tomography enhanced with iv contrast exhibiting an irregular hypodense area of superior pole of the right kidney consistent with hypoperfusion,,,,
ct scan confirmed diagnosis of mh by showing continuity of bowel from abdomen to chest. ct: computed tomography,,,,,,,,,
,,,,non-contrast abdominal computed tomography of the patient revealing the 18-cm large ovarian lesion with moderate volume peritoneal ascites,,,,,
,,,,,,,,,"contrast-enhanced computed tomography scan showing enlarged inferior vena cava with intraluminal clot (indicated by arrow), splenomegaly, and abnormally low enhancement of the liver."
,,,,,,"high-resolution computed tomography showing the major vessels (white circle) were a little apart from the blade of the penetrating knife. internal carotid artery (narrow black arrow), internal jugular vein (white arrow), and vertebral artery (black arrow).",,,
computed tomography of the patient’s chest showing a speculated nodule in the upper field of her right lung,,,,,,,,,
,,,,"abdominal computed tomography (ct) findings on admission. ct imaging revealed thickening of the ascending colon wall, numerous diverticula within and outside the colon wall and thickening of the surrounding fat layer (arrowheads).",,,,,
,,,,,"computed tomography in the coronal sectiona large, extensive, lytic lesion with soft-tissue density involving the entire mandible, maxilla, and lifting of the orbital floor.",,,,
,,,"contrast-enhanced computed tomography of the brain, orbit, and paranasal sinuses.notes: this image showed mucosal thickening of the right ethmoidal sinus (yellow arrow) and fluid in the right sphenoidal sinus (red arrow), compatible with sinusitis.",,,,,,
,,,,,,,,,liver computed tomography scan after trastuzumab maintenance therapy. the lesion has not reappeared.
,,,,abdominal computed tomography featuring the aorta with surrounding soft tissue mass.,,,,,
,"computed tomography scan prior to therapy, revealing invasive aspergillosis. axial and coronal maximum intensity projection (mip) images – massive mostly homogeneous consolidation of left apical segments and patchy infiltration in right lung. additionally bilateral pleural effusion with atelectasis in left basal segments",,,,,,,,
,,,,abdominal computed tomography finding. it shows wall enhancing cystic lesion at the appendiceal base (arrow).,,,,,
,,,computed tomography scan of the brain 72 hours after admission.,,,,,,
,,,,computed tomography scan demonstrating large hemoperitoneum (small arrow) and a grade iv-v splenic laceration with devascularization of the anterior aspect of the spleen (large arrow) in a 17-year-old male who sustained a left upper quadrant abdominal injury during ice hockey.,,,,,
,,,,,,computed tomography angiogram demonstrating the right 4 × 5 cm right saccular popliteal artery aneurysm (lateral view).,,,
,,,computed tomography brain demonstrating cerebral air emboli.,,,,,,
,,,"multicompartmental trauma in a patient with moderate traumatic brain injury. multifocal hyperdense acute subarachnoid hemorrhages along the anterior frontal lobes and within the posterior right sylvian fissure (short arrow), small bifrontal convexity mixed density subdural hematomas (arrowheads), and a hypodense left frontal contusion (long arrow) are noted on this axial computed tomography scan.",,,,,,
coronal computed tomography scan demonstrating hernia of the right diaphragm with right colon and right liver lobe in the right chest cavity,,,,,,,,,
,,,,computed tomography of the abdomen shows pellets within the anterior abdominal wall with related surgical emphysema but no deep penetration or major organ injury,,,,,
,,,,,a coronal cone-beam computed tomography image shows the bilateral presence of haller cells with maxillary sinusitis (white arrow).,,,,
,,,,,,,,"computed tomography of the pelvis shows a large, unevenly enhanced, heterogeneous solid-cystic tumor, with a thick septum on the left side. solid and cystic parts of the tumor can be seen in circles 1 and 2, respectively.",
a chest computed tomography (ct) scan after completion of treatment for segniliparus rugosus infection showing a decreased extent of the nodules compared with that in the previous ct scan and the disappearance of consolidation.,,,,,,,,,
,,,,"computed tomography finding of periportal edema. contrast-enhanced computed tomography scan of a 58-year-old female patient who was referred to abdominal computed tomography for evaluation of clinically suspected pyelonephritis, which was confirmed. computed tomography revealed periportal low attenuation, indicating periportal edema.",,,,,
,spiral computed tomography scan shows left lung opacity and lesion.,,,,,,,,
axial chest computed tomography demonstrating multiple locules of gas within the mediastinum (both arrows),,,,,,,,,
,,,,,,,computed tomography thorax sagittal reconstruction showing foreign body in left lower lobe,,
"follow-up contrast-enhanced computed tomography (ct) scanning of the chest at day 14 showed the aneurysm was no longer present, with nearly complete resolution of the hemomediastinum and hemothorax.",,,,,,,,,
,,,,"abdominal computed tomography scan revealed a big, single hypodense, 6.4 × 6.5 cm in size lesion in the spleen. clear boundary, heterogeneous enhancement, and centrally irregular necrosis",,,,,
,,,,,,computed tomography angiography of the abdomen showed a low-density mass located in the porta hepatis and encasing the proximal segment of the right hepatic artery.,,,
computed tomography imaging at the second intercostal space shortly after chest tube insertion demonstrating subcutaneous emphysema due to persistent air leak originating from sites of repeated needle thoracostomy attempts (white arrow). the air leak was exacerbated by high peak airway pressures required to maintain oxygenation and ventilation.,,,,,,,,,
,,,"brain masses at initial presentation.the initial computed tomography (ct) scan of the brain showed two brain masses, 3.8 mm and 7.3 mm in diameter.",,,,,,
computed tomography angiography of the chest without any evidence of emboli. a follow-up computed tomography after discontinuation of novel oral anticoagulant therapy and initiation of closely monitored conventional warfarin anticoagulation (international normalized ratio 2.0–3.0). a coronal section of this study at the same level as fig. 1 reveals vessels filled with intravenous contrast indicating patency without the presence of emboli,,,,,,,,,
,"a computed tomography image of a patient with large b cell lymphoma. a large mediastinal mass with notable external compression of the superior vena cava (long white arrow) was noted, which was accompanied by moderate pericardial effusion. large bilateral pleural effusions (white arrowheads) were also visible. a focal area of lung parenchymal consolidation was detected in the superior lingual segment of the left upper lobe (short white arrow).",,,,,,,,
,high resolution computed tomography (ct) scan showing tiny centrilobular nodules with a tree-in-bud pattern in both lungs,,,,,,,,
,"axial computed tomography section through the upper lobes on lung window settings demonstrates linear and subpleural opacities, bronchial wall thickening, and areas of low attenuation (indicative of small airways disease) in a patient with bronchopulmonary dysplasia.",,,,,,,,
,,,,enhanced abdominal computed tomography showing a radiolucent mass (asterisk) due to extensive vascularity separated from the inguinal portion of the mass (circle).,,,,,
chest computed tomography showing stable interstitial pneumonia (july 2010).,,,,,,,,,
