mri + t1-weighted and chest,mri + t1-weighted and brain,mri + t1-weighted and abdominal,mri + t1-weighted and coronal,mri + t1-weighted and artery,mri + t1-weighted and lobe,mri + t1-weighted and tumor,mri + t1-weighted and liver
,,,"coronal t1-weighted mri (tr 472, te 9.7 ms) showing thrombus within the left transverse sinus (short arrow) and a temporal lobe cortical vein (long arrow), with swelling of the left temporal lobe (arrowheads), consistent with an infarct.",,,,
,,,coronal t1-weighted mri image showing absence of renal tissue (arrows).,,,,
,,,,,"postoperative t1-weighted mri demonstrates expansion of the frontal lobe reinforcing the reconstructed, basal-frontal dura",,
,t1-weighted sagittal image of brain mri shows a cerebellar haematoma with a hemosiderin ring suggesting subacute haemorrhage.,,,,,,
,,,,,,t1-weighted mri axial view showing a pituitary tumor completely filling the sella in a child,
,"the second brain magnetic resonance imaging (mri) done on the fourth hospital day shows accentuation of leptomeningeal contrast enhancement along the sulci of both cerebral hemisphere in t1-weighted image, findings suggestive of meningitis.",,,,,,
,the 3d t1-weighted mri image of the pilocarpine-treated brain. yellowish white areas (arrowheads) correspond to high t1 signals.,,,,,,
,,,,,,"a 41-year-old premenopausal woman with invasive ductal carcinoma of the left breast who underwent preoperative breast mri. the tumor is not shown on the image. the post-contrast, fat-suppressed t1-weighted image of the first phase of dynamic study shows moderate background enhancement.",
,,,,,,endolymphatic sac tumor. non-contrast-enhanced axial t1-weighted mri sequence. patient with von-hippel-lindau disease presenting a bilateral endolymphatic sac tumor (arrows).,
,,,,,,"a 35-year-old premenopausal woman with invasive ductal carcinoma of the left breast who underwent preoperative breast mri. the tumor is not shown on the image. the post-contrast, fat-suppressed t1-weighted image of the first phase of dynamic study shows mild background enhancement.",
,,,,,"case 2. initial t1-weighted, axial mri after intravenous injection of paramagnetic contrast material shows an enhancing soft-tissue lesion at the apex of the right orbit extending through the superior orbital fissure onto the medial sphenoid wing and around the temporal lobe tip (arrowhead).",,
,,,post contrast coronal t1-weighted mri shows a heterogeneous increased signal at the left iliac bone (arrows) and at the left sacral wing.,,,,
,,,,,,t1-weighted mri: tumor of the posterior cranial fossa (single arrow) as well as the macroadenoma of the pituitary gland (double arrow).,
,,,,,,"sagittal t1-weighted mri image. a presacral tumor with low signal intensity is shown (red arrow). a fat plane can be seen between the tumor and the rectum, indicating that infiltration is not present (blue arrow).",
,,,,,,"radiation necrosis masquerading as late tumor recurrence. five years after treatment for malignant ependymoma, axial post-gadolinium t1-weighted mri image showed stable post-treatment changes and no residual or recurrent tumor. [powerpoint slide]",
,,"36-year-old female presenting with pelvic mass, lower abdominal pain, infertility, and menorrhagia. t1-weighted sagittal mri image before ufe reveals a large enhancing fibroid (thick arrow) and a small non-enhancing fibroid (thin arrow).",,,,,
,"mri brain postcontrast t1-weighted image showing the correct location of the posterior pituitary bright spot within the sella turcica. mri, magnetic resonance imaging.",,,,,,
,,,"t1-weighted contrast-enhanced coronal mri. hypointense nodular lesion in the right capsulothalamic area, with peripheral annular enhancement. small cortical-subcortical ipsilateral satellite lesion with annular enhancement and perilesional edema.",,,,
,"sagittal t1-weighted mri. frontal lobe (1), parietal lobe (2), occipital lobe (3), corpus callosum (4), lateral ventricle (5), thalamus (6), midbrain (7), pons (8), medulla oblongata (9), cerebellum (10), spinal cord (11), adenohypophysis (12), and neurohypophysis (13). sagittal t1-weighted mri shows the posterior pituitary lobe. the adenohypophysis is isointense relative to gray matter and the neurohypophysis is hyperintense. scale bar represents 1 cm.",,,,,,
,preoperative brain mri contrast-enhanced t1-weighted image showing huge hemorrhagic tumor in left posterior fossa extending to the left upper neck though jugular foramen.,,,,,,
,"pre-operative magnetic resonance imaging (mri). mri of brain showed heterogeneously hypo on t1-weighted and hyper on t2-weighted sequences and a lesion measuring 4×3.5×3.5 cm with solid cystic contents occupying the right cerebellopontine angle, compressing and distorting the brainstem, and extending superiorly upto the tentorium and into the petrous bone, with severe hydrocephalus and periventricular oedema",,,,,,
,,,"mri scan on presentation. postcontrast, fat-saturated, t1-weighted coronal view showing nipple sign in the enlarged pituitary gland (arrow).",,,,
,,,,,,"sagittal t1-weighted contrast enhanced mri image demonstrates intracranial and extra cranial portion of the tumor extended to the sphenoid and ethmoid sinuses, nasal cavity, orbit, pterygomaxillar fossa, and neck.",
,,,t1-weighted coronal oblique mri shows a solid calcium deposit at the insertion of the ss (black arrow) with partial tear of the related tendon on the bursal side (white arrow),,,,
,,,lacrimal gland involvement. coronal post-contrast t1-weighted mri shows bilateral intensely enhancing enlarge lacrimal glands (arrowheads).,,,,
,,,coronal t1-weighted mri reveals thickening of the left vocal cord (black arrow).,,,,
,,,,,"mri of the neck, axial section (t1-weighted), showing a mass in the deep lobe of the right parotid gland (arrow).",,
,,,45-year-old man with bochdalek hernia. coronal t1-weighted mri reveals a portion of liver herniated through a defect in the posterior right hemidiaphragm.,,,,
,,,,,"axial t1-weighted, gadolinium-enhanced preoperative mri image showing peripherally enhancing bilobed tumor (histology confirmed it as anaplastic astrocytoma, who grade 3) in right thalamus and right posterior temporal lobe",,
,,,,,,,45-year-old man with bochdalek hernia. sagittal t1-weighted mri shows the herniated portion of liver.
,,,,,,"t1-weighted axial mri thoracic spine, showing a dumbbell-shaped tumor arising from the dorsal nerve root, with mass effect on normal spinal cord.",
,"mri of the brain. thin slice axial t1-weighted with gadolinium injection and fat suppression shows no gadolinium enhancement on compressed left medulla.abbreviation: mri, magnetic resonance imaging.",,,,,,
,,,coronal t1-weighted mri of the pelvis and hips - repeat imaging.,,,,
,,,"pre-treatment mricoronal t1-weighted, contrast-enhanced image illustrating an enhancing mass involving the left cavernous and sphenoid sinus.",,,,
,,,,,,,"liver mri with contrast medium (may 19, 2014). t1-weighted mri in an axial plane; follow-up after hepatic resection of segments ii and ii and local excision of metastases in segments ivb and vi. no evidence of disease."
,t1-weighted magnetic resonance imaging (mri) section through the brain shows single brain metastasis from lung disease.,,,,,,
,,,"postoperative t1-weighted postcontrast coronal mri revealing absence of pituitary adenoma and suprasellar meningioma, which have been resected.",,,,
,,,,,,"sagittal t1-weighted, gadolinium-enhanced preoperative mri image showing a peripherally enhancing pontine tumor (histology confirmed it as glioblastoma, who grade 4)",
,,"axial contrast-enhanced arterial phase fat-saturated t1-weighted mr image: well-defined pancreatic tail lesion with enhancing soft tissue component, as well as few enhancing septations (arrows). no connection with the pancreatic duct was seen in the mrcp images (not shown). no mri evidence of malignant transformation was found, and there was no evidence of abdominal metastatic disease.",,,,,
,,,,,,mri of the patient's foot shows a hypointense tumor mass on t1-weighted spin-echo sequences compared to surrounding musculature. the skip lesion of the talus displays a hyposignal on t1-weighted sequences.,
,,,,,,,"mri showing iron overload in the liver and pancreas.notes: axial t1w in-phase image. there is loss of signal intensity of the liver (white arrow) and pancreas (black arrow), while signal intensity in the spleen (*) is preserved. these findings are in keeping with parenchymal iron storage due to primary iron overload (hereditary hemochromatosis).abbreviations: mri, magnetic resonance image; t1w, t1-weighted."
,,,,,,axial mri t1-weighted image with gadolinium showing an example of the treatment planning of a who grade i meningioma located right frontal. the size of the tumor was 3.2 cm3. the prescribed dose was 13 gy. the coverage was 99% with a selectivity of 77%. the part of the dural tail not included in the treatment volume is delineated with the red line. the volume of the untreated part of the dural tail was 0.31 cm3. the minimum dose that the untreated part of dural tail received was 3.2 gy. this tumor showed no in-field or out-of-field progression within 48 months,
,"a hemorrhagically transformed ischemic area is evident in axial t1-weighted mri, and significant hypometabolism in the right-side parietotemporal cortical area is revealed by fdg-pet. the raw fdg-pet data were processed using neuroq software (version 3.5, syntermed), and the average pixel values in standardized regions of interest were calculated automatically. areas and whole-brain ratios were compared to normal values in a database.",,,,,,
,"t1-weighted image, sagittal view of brain mri of a two month-old infant reveals hypointense mass around the anterior fontanel with intact bone under the lesion",,,,,,
,,,coronal post contrast fat-suppressed t1-weighted mri demonstrates communication between the common flexor tendon sheath and the tendon sheath of the flexor pollicis longus tendon.,,,,
,,,,,,"axial t1-weighted image of mri showing a large left breast mass with hyperintensity at the center and hypointensity at periphery, which can be due to central intra-tumoral hematoma. mri = magnetic resonance imaging.",
,the mri of the brain revealed a mass (white arrow) in the left frontal lobe that was ring-enhanced in the t1-weighted image.,,,,,,
,,,"49-year-old woman with meningioma. coronal t1-weighted postgadolinium mri shows enhancement of the left cpa mass. mass effect is seen on the pons, with inferior herniation of the cerebellar tonsils into the foramen magnum.",,,,
,,,,,,"postcontrast transaxial t1-weighted (tr/te, 305/15 ms) mri. intraocular enhancing retinoblastoma combined with focal choroidal thickening and a discontinuity of the linear enhancement pattern of the choroid (arrowheads) adjacent to the tumor mass is suspicious for tumor invasion. histopathological examination of this eye showed massive choroidal invasion",
,mri brain (t1-weighted) showing hyper intensities suggestive of venous infarcts,,,,,,
,,,"21-year-old female patient with complaints of forgetfulness, twitching of eyes, and short stature later diagnosed with coexistence of ectopic neurohypophysis, corpus callosum dysgenesis, and periventricular neuronal heterotopia. a coronal non-contrast t1-weighted mri image reveals a hyperintense ectopic posterior pituitary adjacent to the optic chiasm, at the level of the median eminence of the hypothalamus (arrows). the bright dot in the ectopic site indicates neurohypophysis.",,,,
,,,gd-enhanced coronal t1-weighted mri showing significantly inhomogeneously enhanced well-defined mass with a wide base.,,,,
,,,,"patient 2, t1-weighted enhanced mri scan: ovoid mass occupying the left retrostyloid compartment, 3 × 4 cm in size (white star). the internal carotid artery (black arrow), the internal jugular vein (horizontal white arrow), and the external carotid artery (vertical white arrow) are all displaced laterally.",,,
,"axial t1-weighted, non-contrast intraoperative mri image showing herniation of brain parenchyma through the craniotomy defect. the imaging was obtained to update neuronavigation and guide further surgery as navigation had lost accuracy due to intraoperative brain shift",,,,,,
,,"abdominal mri reveals the right kidney of the length of 78 mm in a typical location. within the enlarged and deformed collecting system of the right kidney, numerous well-delimited, circular and polycyclic lesions were found, which mainly fill the middle and lower calyces (with intermediate signal intensity in t1-weighted images and with low intensity in t2-weighted images), without contrast intensification in the sequences after the administration of a contrast medium.",,,,,
,,,,,,"sagittal t1-weighted mri scan obtained 3 months after second surgery, revealing total tumor resection.",
,,,"coronal mri of the pelvis, t1-weighted image. there are two small rounded lesions (arrows) on the sacrum adjacent to the right si joint with the same signal as those seen in image 5.",,,,
,,,,,"axial in-phase gradient echo (gre) t1-weighted magnetic resonance imaging (mri) scan, obtained as a part of dual gre (chemical shift) sequences, showing a focal mass in the right lobe to be hypointense when compared to liver parenchyma, but iso-intense compared to spleen parenchyma.",,
,t1-weighted brain mri showing hyperintensities in substantia nigra,,,,,,
,,,,,,"sagittal t1-weighted, gadolinium-enhanced intraoperative mri image confirming that representative biopsies have been performed, particularly from the enhancing edge of the tumor",
,,,"patient no. 8. preoperative coronal t1-weighted mri demonstrating a sellar lesion attached to the left cavernous sinus, stretching the pituitary gland to the right and slightly deviating the pituitary stalk. given the clinical presentation, the lesion was considered to be a gh-secreting pituitary adenoma",,,,
,,,,,"orbital anatomy. high-resolution axial t1-weighted native mri of a volunteer without structural abnormalities at 3.0 tesla. structures removed during enucleation (globe, part of the optic nerve, insertions of the external eye muscles) are highlighted by the red ellipse.",,
,,,,,,t1-weighted sagittal mri revealing a pituitary tumor with minimal suprasellar extension in a child,
,,,,,,sagittal t1-weighted spin-echo mri of the right ankle showing a well delineated giant cell tumor anterior to the ankle (arrow).,
,,,,,t1-weighted mri fsgd (fat sat and gadolinium). lateral displacement of the globe. mucous retention in the left maxillary sinus.,,
,,,,,,"axial t1-weighted, gadolinium-enhanced intraoperative mri image showing complete tumor resection. this served as the final intraoperative/early postoperative scan",
,t1-weighted brain mri showing ischaemic lesion of left posterior putamen.,,,,,,
,t1-weighted mri brain with contrast showing 5.7 cm thrombosed left mca aneurysm.,,,,,,
,brain imaging findings in the patientan axial t1-weighted mri image of the patient at the age of 11 years. there is extensive loss of both gray and white matter with corresponding widening of the csf spaces and thickening of the skull. both thalami (arrows) show shrinking and signal change.,,,,,,
,,,"mri examination performed 1 month after surgery. t1-weighted image after contrast administration, coronal plane: the suprasellar residual tumour and endosellarly implanted fat (arrow).",,,,
,,,contrast enhanced coronal mri (t1-weighted) showing hypoglossal schwannoma,,,,
,,,,t1-weighted gadolinium-enhanced mri showing left cerebellar encephalomalacia consistent with an old infarct of the left posterior inferior cerebellar artery.,,,
,,,coronal t1-weighted mri scan showing the fascicular pattern (long arrow) and perineural fat (short arrows) around the proximal segment of the sciatic nerve.,,,,
,"coronal t1-weighted mri brain to demonstrate how the site of a small subcortical (lacunar) infarct could influence clinical presentation. a small subcortical infarct lying in the left internal capsule, i.e. deep white matter (a), would cause functional disconnection of a large area of cortex (b, shaded). a peripheral small subcortical infarct lying close to cortex (c) would affect only a limited area of cortex (d, shaded), and could mimic a mild cortical stroke.",,,,,,
,,,t1-weighted coronal oblique mri highlights a greater tuberosity osteolysis (black arrow) in a case with a calcium deposit of the ss in contact with the bone,,,,
,brain mri (t1-weighted image) was repeated and showed marked decrease in the volume of cerebral edema following 10 days of therapy with prednisone. note the increased space of the gray-white matter junction and the ventricles (arrows).,,,,,,
,,,,,,"glomus tumor. contrast-enhanced axial t1-weighted mri sequence showing a lesion with marked enhancement (arrow), containing areas consistent with flow voids.",
,,,coronal contrast-enhanced t1-weighted mri at 18 months depicts gross-total resection of the transosseous meningioma with no evidence of recurrence or regrowth,,,,
,,,"a coronal enhanced t1-weighted mri image shows diffuse joint space narrowing with severe erosive bone changes, and osteomyelitis of the distal humerus, proximal radius and ulna, myositis, and cellulitis of the muscle and subcutaneous layer around the elbow joint, and a large amount of joint effusion with synovial enhancement.",,,,
,,abdominal magnetic resonance imaging (mri). the t1-weighted images show high signal intensity and many partition walls.,,,,,
,,,the characteristic feature of a lipoma is its high signal intensity on the unenhanced t1-weighted mri sequence (coronal),,,,
,,,coronal contrast-enhanced fat-suppressed t1-weighted mri image obtained before sclerotherapy shows homogenous hyperintense lesions in the palmar soft tissue and distal phalanx of the left thumb. abbreviation: mri = magnetic resonance imaging.,,,,
,,,coronal t1-weighted mri demonstrates decreased signal at the left iliac bone (arrows) and at the left sacral wing (curved arrow).,,,,
,,,"hip abductor damage on mri.shown is the coronal t1-weighted mr-image at the level of the greater trochanter of a 72 year old female patient, complaining of severe lateral hip pain on the left side, radiating down to the knee. the greater trochanter is very tender on palpation and the patient presents with a reduced walking distance and difficulties during the gait cycle. the hip lag sign was positive on the left side.",,,,
,,,,,,"axial t1-weighted, gadolinium-enhanced intraoperative mri image showing complete excision of the right frontal tumor. this served as the final intraoperative/early postoperative scan",
,typical mri manifestation of brain sagging.midsagittal t1-weighted mri shows downward displacement of the cerebellar tonsil by 5 mm (arrow).,,,,,,
,,,,,,"axial t1-weighted gadolinium-enhanced preoperative mri image showing a large heterogeneously enhancing tumor in the right posterior frontal region with associated mass effect and midline shift (histology confirmed the tumor to be an atypical teratoid rhabdoid tumor, who grade 4)",
chest mri using intravenous contrast medium showed iso-intensity of the mass on a t1-weighted image.,,,,,,,
,,,coronal t1-weighted mri scan revealing the recurrent disease. an extensive tumor (10 × 5 × 6 cm) expanding from the left sciatic nerve to the gluteal region.,,,,
,,,"mri examination performed at 5 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is the round structure with slight peripheral enhancement.",,,,
,,abdominal mri. a mass which is slightly enhanced and demonstrates mass effect on the surrounding organs is shown on gadolinium-enhanced t1-weighted images (arrows).,,,,,
,,,,,,"sagittal t1-weighted, non-contrast intraoperative mri image showing partial resection of the posterosuperior aspect of the third ventricle tumor. the imaging was used to update neuronavigation and fine-tune further surgical debulking",
,,,t1-weighted coronal mri scans of the head. normal pituitary gland can be found (arrow). the fluid-filled nature of the lesion is demonstrated by the fluid-fluid level.,,,,
,"brain mri: t1-weighted axial mri view of the brain which shows the classical agyria pattern and ventriculomegaly. mri, magnetic resonance imaging.",,,,,,
,brain mri (t1-weighted image) showed diffuse swelling of the brain due to extensive edema of the white matter characterized loss of gray-white junction and collapse of the ventricles (arrows).,,,,,,
,,,"mri scan on presentation. postcontrast, fat-saturated, t1-weighted coronal view.",,,,
,,,71-year-old female with lipoma arborescens. coronal t1-weighted mri of the right knee shows a focus of lipoma arborescens (1).,,,,
,,,"follow-up mri at 15 months after the pituitary tumour resection. t1-weighted image after contrast administration, coronal plane: no structure suggestive of the presence of the filling material.",,,,
,t1-weighted axial mri of the brain demonstrates multifocal high signal in a subarachnoid distribution (white arrows) confirming the presence of cholesterol secondary to rupture.,,,,,,
,t1-weighted sagittal mri of the brain shows uniform cerebellar loss.,,,,,,
,,,preoperative mri coronal cut t1-weighted contrast image shows tentorial dural tail sign,,,,
,empty sella combined with intrasphenoidal meningocele formation in magnetic resonance imaging (mri) scan of brain. sagittal t1-weighted. huge cystic structure from pituitary sella herniated into sphenoid sinuses causing sellar floor destruction and wall of sphenoid and ethmoid sinuses remodeling is found.,,,,,,
,3d rendering of parcellation of a 9-year-old child’s brain from mri. the surface model is depicted on top of a mid-sagittal slice from the t1-weighted mri. comparison of regional tissue volumes across subjects can be employed to indicate localized structural differences.,,,,,,
,,,coronal mri t1-weighted image of the same injury.,,,,
,,,,,cortical-subcortical increased signal intensity in bilaterally frontal lobes on t1-weighted images on cranial mri on the second day of hospitalization,,
,,,,,,"sagittal t1-weighted, gadolinium-enhanced intraoperative mri image showing almost complete resection of suprasellar tumor with small intended residual tumor in the hypothalamus. no further tumor resection was performed and this served as the final intraoperative/early postoperative scan",
,,,"mri, coronal section, t1-weighted with fat saturation and contrast. the green arrow refers to the neck mass.",,,,
,,,,,,"axial t1-weighted contrast enhanced mri image demonstrates extra cranial portion of the tumor extended to the sphenoid and ethmoid sinuses, nasal cavity, and orbit.",
,,,coronal post-gadolinium t1-weighted mri shows a mass in the subcortical left frontoparietal region abutting into the left lateral ventricle with associated peripheral ring-like enhancement.,,,,
,mri brain t1-weighted image showing left fronto-parietal subdural hematoma with effacement of left side gyri and sulci,,,,,,
,,,,arterial phase t1-weighted mri image (transverse view) showing anomalous arterial supply to ectopic left kidney and mass (star). proximal left renal artery (short arrow) branching off distal aorta. distal left renal artery (long arrow) branching off left common iliac artery.,,,
,,,preoperative t1-weighted postcontrast coronal mri revealing a homogenously enhancing suprasellar meningioma (asterisk) and an adjacent pituitary macroadenoma of variable intensity in the pituitary region (straight black arrow). the suprasellar meningioma extends into the interhemispheric fissure.,,,,
,hemorrhagic cardioembolic infarction in a patient with a spectacular shrinking deficit syndrome visualized in the brain mri study (spin-echo hyperintensity t1-weighted image).,,,,,,
,,,preoperative mri t1-weighted coronal cut: bilateral enlarged parotids and intraglandular lymph nodes.,,,,
,head magnetic resonance imaging findings (t1-weighted fat suppression gadolinium-enhanced image) after 35 months of pazopanib administration. this mri showed brain metastases with surrounding edema and a midline shift.,,,,,,
,,,,,"an example of rois placing.a 67 years old man with a suspicious high grade glioma in right temporal lobe on t1-weighted contrast-enhanced mri. roi 2 and roi 3 were placed in the tumor parenchyma and peritumoral area, respectively; roi 4 was put in the contralateral normal hemisphere.",,
,,,,,,"t1-weighted mri image of the temporal tumor, with obvious contrast",
,"midsagittal t1-weighted mri shows the neural structure of the posterior cranial fossa. d : the length of the hindbrain midbrain-pons junction and the medullocervical junction, f : the vertical length of the tentorium with cerebellum.",,,,,,
,brain mri. sagittal t1-weighted image demonstrating intact corpus callosum.,,,,,,
,,,,"patient 1 t1-weighted enhanced mri scan: encapsulated tumor of the left retrostyloid compartment, 5 cm by 4 cm in size (white star). the internal carotid artery (black arrow) is displaced anterolaterally; the internal jugular vein is displaced posteriorly (horizontal white arrow).",,,
,,,"coronal post-contrast t1-weighted mri shows the pituitary gland (arrow), infundibulum, or stalk (s) and the laterally related intracavernous internal carotid artery. the width was measured as the maximum distance to the left and right sides of the pituitary gland.",,,,
,axial postcontrast t1-weighted brain mri shows a contrast-enhanced left-sided lesion in the periventricular white matter.,,,,,,
,preoperative mri axial cut t1-weighted contrast image shows ventroinferior displacement of cerebellum and brainstem,,,,,,
,,,coronal t1-weighted mri showing the left pharyngeal mass with airway depression.,,,,
,,,"gadolinium-enhanced coronal t1-weighted mri scan showing pachymeningeal enhancement over the left temporal cerebral convexity, the left cerebellar convexity, and the left side of tentorium cerebelli. also, there is left mastoiditis.",,,,
,,,,,,t1-weighted post-gd mri image showing preservation of a fat plane between the tumor and parotid gland.,
,,,,,,"enhanced mri t1-weighted image. between the sigmoid colon and the urinary bladder, the solid tumor was connected via the fistula, showing a dumbbell-shaped appearance. the sigmoid colon tumor protruded into the urinary bladder lumen (arrows) via the colovescal fistula (arrowheads).",
,,,"distal femur mri.note: coronal t1-weighted magnetic resonance image shows marrow replacement of distal femur and a soft tissue mass extending beyond the bone cortex.abbreviation: mri, magnetic resonance imaging.",,,,
,"change in skull and brain conformation in griffon bruxellois with cm and syringomyelia.the t1-weighted midsagittal mri image is from dog a (without cm or syringomyelia) and the framework of lines and angles is indicated in blue and higher case letters with the exception of angles 2 and 5 which are numbered in yellow. the framework of dog d (with cm and syringomyelia) has been superimposed on the image and aligned with baseline hai and on the f-diameter. the framework of dog d is in red and with lower case letters. angles 2 and 5 are yellow. it is possible to appreciate how with syringomyelia, the occipital lobe circle and height of cranial fossa increases (red circle). angles 2 and 5 (yellow) are decreased as a consequence of the cranial base shortening and increased proximity of the atlas to the occiput. in addition the vertexes at e and d (red triangles) are closer together giving an appreciation of the overcrowding and change in shape of the caudal fossa. the white arrows depict the changes between the measurements.",,,,,,
,,,,,t1-weighted mri image showing large multiseptated cystic lesion in right lobe of liver.,,
,,,post-gadolinium enhanced t1-weighted magnetic resonance image (t1w mri) shows intensely enhancing lesion in the left cavernous sinus (arrow) lateral to medially displaced internal carotid artery. lesion appears larger as compared to t2-weighted (t2w) coronal image [figure 1].,,,,
,,,,,,,t1-weighted gradient-echo opposite-phase mri image of the liver showing multiple bilateral moderately intense lesions.
,,,"the t1-weighted coronal mri scan of one case with unilateral ribpthe mr imaging showed high intensity within the left brachial plexus (red arrow), compared with the normal right brachial plexus.",,,,
,,,,,,"a 40-year-old premenopausal woman with invasive ductal carcinoma of the left breast who underwent preoperative breast mri. the tumor is not shown on the image. the post-contrast, fat-suppressed t1-weighted image of the first phase of dynamic study shows marked background enhancement.",
,,,"selected slice from wide field of view coronal t1-weighted mri (tr 439, te 14 ms) of the same patient as fig. 3. note intermediate signal intramedullary tumour (arrow) replacing the normal fatty marrow signal seen contralaterally.",,,,
,,,"coronal t1-weighted (t1w) mri image of the pelvis in a patient with bilateral avascular necrosis of the femoral head shows increased signal within the superior aspect of the femoral head, representing fat, surrounded by a line of decresed signal, representing sclerotic reactive margin. this is an mri class a (fatlike).",,,,
,,,"mri examination performed 1 month after surgery. t1-weighted image after contrast administration, coronal plane: at the bottom of the sella there is a structure which could be haemostatic material (arrow).",,,,
,,,"typical mri scan changes in gh adenoma. coronal t1-weighted postcontrast mri scan at upper left and right, obtained in patient 3, a 33-year-old man who presented with gh adenomas and acromegaly 7 years before undergoing masep gkrs. (figure 5) an enhancing mass lesion is seen in the sella turcia with extension into the left cavernous sinus. patient 3's serum growth hormone level was 497.3 ng/ml initially. he was treated with transsphenoidal surgery, and the tumor relapsed shortly with the serum growth hormone level reduced to 130.2 ng/ml. the patient was treated with masep gkrs, and mri was performed for treatment planning. 20 gy defined to the 50% isodose line is used to cover the full extent of the pituitary tumor in the first radiosurgery, and 28 gy defined to the 50% isodose line is used to cover the pituitary tumor in the second time one year later.",,,,
,,67-year-old female with epigastric and left-upper-quadrant abdominal pain. mri abdomen t1-weighted 3 d vibe axial image at the level of pancreas shows pancreatic tissue (arrows) surrounding the duodenum (d). also visible is the common bile duct (arrowhead).,,,,,
,,,,,,t1-weighted mri showing a tumor mass at l5-s1 region,
,,,patient no. 2. preoperative coronal t1-weighted mri showing a sellar lesion of 20 mm with suprasellar extension suggesting a preoperative diagnosis of a non-functioning pituitary adenoma,,,,
,t1-weighted mri of the brain shows the left paracavernous dermoid cyst (white arrow).,,,,,,
,,,"mri examination performed at 3 months after surgery. t1-weighted image after contrast administration, coronal plane: the residual adenoma at the right side of the sella (arrow).",,,,
,,,,,,,"typical mri scan changes in prolactinomas adenoma. an enhancing mass lesion is seen in the sella turcia under the t1-weighted postcontrast mri scan performed 1 year after masep gkrs, but the volume of the mass had collapsed for more than 50%. patient 2's clinical symptom did improve. her serum prolactin level came down to 14.5 ng/ml, and she got gestation and delivered a healthy baby recently."
,,,"mri examination performed at 3 months after surgery. t1-weighted image after contrast administration, coronal plane: the titanium mesh at the bottom of the sella (arrow).",,,,
1,39,6,62,4,12,31,6
