mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,mri brain showing oblitertion of transverse sinus in coronal section,,,,,,
,,,,,a-b) mri in coronal and axial view of recurrent papillary thyroid carcinoma with thyroid cartilage involvement and intralaryngeal spread.,,,,
,,,"axial t2w mri image of the brain reveals a large, well-defined mass lesion in left thalamic region, having heterogeneous hyperintense signal intensity",,,,,,
,,,,,coronal mri showing delta sign demonstrating superior sinus thrombosis.,,,,
,,,,,"50-year-old male with a glomus jugulotympanicum. coronal gadolinium-enhanced t1 mri with fat suppression demonstrates the avidly enhancing mass. extension through the eac into the peri-auricular region is seen, with the enhancing mass involving the middle cranial fossa. note linear dural enhancement on the left side and the “salt-and-pepper” appearance of the left jugular foramen mass.",,,,
,,,brain mri was performed with evidence of intracerebral hematoma with right frontal brain edema.,,,,,,
,,,"brain fluid-attenuated inversion recovery mri sequence showing a hypointense, lobulated cystic lesion with internal septation and without a scolex in the left temporoparietal region, causing a mass effect.",,,,,,
,,,mri of brain showing ventriculomegaly.,,,,,,
,,,,,,,,mri of the pelvis showing the perineal mass (black arrow) and rectosigmoid tumor (white arrow).,
,,,,,,preoperative magnetic resonance imaging (mri) t2 sequenceshowing compression of the medulla by the vertebral artery,,,
,,,,,mri coronal-t1w with contrast.,,,,
,,,mri of the brain upon admission: axial flair image at the level of the occipital region showing symmetric high-signal intensity changes involving the cortical gray matter and the subcortical white matter of both occipital lobes. a prominent ventricular dilatation is also noted.,,,,,,
,,,mri brain (coronal section) showing empty sella,,,,,,
,,,axial brain mri in flair sequence showing abnormal signals in sigmoid sinus.,,,,,,
,,,brain mri t1-wi axial plane of a patient with ephedrone encephalopathy at midbrain level: increased signal intensity in cerebral peduncles.,,,,,,
,,,,,,,mri axial flair with increased signal intensity at the medial temporal lobe (arrow).,,
,,,,,"a. t1 weighted mri scan, coronal section: a 3.5 × 2.0 cm mass is located in the superficial lobe of the right parotid gland. b. t1 weighted mri scan, axial section: an oval mass of about 1.0 cm in diameter is located in the left side of the nasopharynx.",,,,
,,,"mri of the brain (sagittal view) shows a large right cerebellar ring-enhancing lesion indicated by the arrow.mri of the brain from the side (sagittal view) shows a large ring-enhancing mass in the cerebellum, which is seen as an irregular oval-appearing lesion with a bright white outline and is indicated by the arrow. mri - magnetic resonance imaging.",,,,,,
,,,,,,,,postoperative mri scan showing total tumor removal,
,,,,,mri (coronal view) showed the tumor in the right infratemporal fossa with intracranial extension and invasion of the maxillary sinus and mandible.,,,,
,,,,,,reconstructed three-dimensional magnetic resonance imaging (mri) demonstrated positional relationships between right subclavian artery aneurysm and surrounding vessel.,,,
,,,venous brain mri performed at second day with filling failure from left transverse sinus to ipsilateral jugular vein due to a cerebral venous sinus thrombosis.,,,,,,
,,,,,,,,"a 41-year-old woman with breast cancer. dynamic mri revealed an enhanced lesion that was similar in size both before nact (a) and after the final cycle of nact (b); the response rate was 8.3%. (c) the baseline adc value calculated within the tumor margin was 0.789×10−3 mm2/s. (d) the %adc after the first of four cycles of nact was 2.3%. the response rate between before nact (e) and after first-time nact administration (f) was calculated as 5.9% on the ultrasound gray-scale image. nact, neoadjuvant chemotherapy; adc, apparent diffusion coefficient.",
,,,,,,,"mri axial flair at time of second diagnosis of herpes simplex encephalitis with increased signal intensity in the medial temporal lobes, right greater than left.",,
,,,,,,,"mri demonstrating a mildly heterogeneous t2 hyperintense lesion in the right hepatic lobe, measuring approximately 4.4 cm × 4.8 cm × 4.9 cm.",,
,,,,,"mri coronal t1 postcontrast showing sinonasal sarcoma. mri, magnetic resonance imaging.",,,,
,,,brain mri (sagittal plane) showing normal size of the pituitary.,,,,,,
,,,,,february coronal mricraniocervical junction mass,,,,
,,,magnetic resonance imaging (mri) of the brain showing pontine infarct (circle) and severe micrognathia (arrow).,,,,,,
,,,,,t1 mri coronal view after injection.,,,,
,,,mri of the brain revealed prominent bilateral enhancing parietal-occipital lesions on flair and t2 sequences and small areas of hyperintensity in the left periventricular white matter on diffusion-weighted images.,,,,,,
,,,,,coronal mri of the lesion.,,,,
,,,mri brain with contrast; t1 coronal sequence revealing a mass in the carotid spaces with cephalocaudad dimension of approximately 50–60 mm. the caudad margin of the mass begins approximately 15–20 mm superior to the carotid bifurcation. the mass extends cephalad through the jugular foramen and left aspect of the basilar cistern with erosion into the hypotympanum and mesotympanum.,,,,,,
,,,,intra-abdominal testes detected by mri. t= testis,,,,,
,,,,,before pasireotide therapy. mri scan of pituitary – coronal view – t1 weighted image with gadolinium contrast showing residual pituitary tumour with invasion of cavernous sinus showing homogenous enhancement.,,,,
,,,t1 ax flair (brain mri with and without contrast). red arrow indicating debris layering in the left ventricle.,,,,,,
,,,,,,,,mri image of an arterially enhanced lesion representing hepatocellular carcinoma seen with washout and delayed capsular enhancement. the tumor measures 2.2 cm in diameter and is located on segment 7 of the liver in close proximity to the tendinous portion of the right hemidiaphragm.,
,,,,"mri imagining shows tumor (omega arrow), herniated descending colon (alpha arrow), and abdominal wall defect (dotted beta arrow).",,,,,
,,,,,,,,cervical mri confirming the presence of a carotid body tumor,
,,,,,mri of the lower abdomen and pelvis (coronal fat-suppressed image) shows an ectopic pelvic location of the kidney (arrow). the prostate gland is not visualized,,,,
,,,,,,,mri flair of a patient with limbic encephalitis and positive nmdar antibodies in the csf. increased signal intensity is seen in the bilateral medial temporal lobes and hippocampi.,,
,,,,,coronal section mri t1 at 3.5 months showing the zoning phenomenon,,,,
,,,,cross-sectional abdominal mri showing concomitant cirrhotic liver with multiple ill-defined heterogeneous lesions.,,,,,
,,,,,coronal mri of the right knee revealing intra-articular and bucket-handle medial meniscus tear with the displaced fragment located in the intercondylar notch.,,,,
,,,"preoperative head mri (blue arrow - orbital cellulitis, red arrow - sinusitis, yellow arrow - brain abscess)",,,,,,
,,,,,,,,ct and mri preoperative imagessagittal ct - suspicious of aortic and celiac axis invasion (arrow) - loss of plane between tumor and descending aorta,
,,,mri brain after administration of mdc nuanced impregnation of the meninges in the cerebellar lobe in some places shows micro nodular appearance (case 4),,,,,,
,,,mri brain with contrast; t1 coronal sequence demonstrating a mass close to the external auditory canal with diffuse minimal somewhat heterogeneous enhancement.,,,,,,
,mri image of a metastatic brain tumor from lung cancer in the deep right parietal lobe. has been reproduced.11,,,,,,,,
,,,,,,,,axial mri view of the tumor.,
,,,,,,,,mri of right hand showing glomus tumor of 4th digit.,
,,,brain mri changes in a 4-year-old boy with propionic academia,,,,,,
,,,,abdominal mri following two sessions of open surgery and radiofrequency ablation for a left-sided recurrent solid mass. there is no sign of recurrent or residual solid tumor in the kidneys. remnant adrenal tissue on the left side was free of any recurrent lesion and was measuring 24.62 × 9.48 mm in diameter. multiple cysts are visible in the right kidney.,,,,,
,,,"brain mri of gp bilateral lesion of the occipital cortex, slightly greater on the right side, with involvement of the adjacent parietal lobes.",,,,,,
,,,mri image of the brain in an axial view showing the “post-contrast flair image”. note the abnormal lesions (circled) in the per ventricular area do not show any enhancement with contrast injection.,,,,,,
,,,axial susceptibility weighted image of mri brain with an arrow indicating the extra-axial collection in right frontotemporal region.,,,,,,
,,,"t2 weighted mri brain – left carotid cavernous fistula, most likely direct (type a) with enlarged drainage vessels which included the left superior ophthalmic, left sphenoparietal and inferior petrosal sinuses.",,,,,,
,,,the coronal view of brain mri with bilateral signal intensity in both thalamus,,,,,,
,,,a coronal contrast-enhanced mri of the brain demonstrating the heterogeneously enhancing left temporal lobe mass (glioblastoma multiforme) with an associated cystic component (arrow).,,,,,,
,,,,,coronal mri of the abdomen showing split of the spinal vertebrae below the dorsolumbar junction.,,,,
,,,,,coronal mri view of soft tissue swelling of left lower limb.,,,,
,,,abnormal signal in bilateral basal ganglia and brain atrophy in an mri from a 4-year-old boy with propionic-acidemia,,,,,,
,,,"skull mri with craniofacial disproportion, increased subarachnoid space, and corpus callosum hypoplasia. the brainstem, cerebellum, and spinal cord are preserved",,,,,,
,,,,,a representative mri t1 image after gadolinium showing a coronal cut of the base of the penis with both corpora cavernosa having high signal intensity due to gadolinium uptake whereas the corpus spongiosum does not uptake gadolinium.,,,,
,,,,,"mri, coronal t1 18/660 of left ankle. star: calcaneus bone; arrow: fibularis quartus muscle.",,,,
,,,,,,,,axial t2 weighted magnetic resonance imaging (mri) through the mass reveals multiple flow voids around the periphery of the tumor (arrows).,
,,,t1 post-contrast axial mri image of brain showing marrow signal abnormality within the clivus with an expansile mass with soft tissue component in the cavernous sinus and right cerebellar metastasis.,,,,,,
,,,,,,,,"follow-up mri 3 months postoperatively, showing in a coronar t1 view with contrast enhancement residual tumors at the lateral and medial sphenoid wing",
,,,,,,,,preoperative mri examination showed intrahepatic primary tumor lesions (arrow).,
,,,"swi 7t mri of the midbrain and the surrounding structures.csf: cerebrospinal fluid, pu: putamen, sn: substantia nigra, nr: nucleus ruber, n1: nigrosome 1.",,,,,,
,,,mri brain scan performed 9 months post chemotherapy. the follow-up scan indicates that the previously noted oedema and the majority of the cns lesions have resolved.,,,,,,
,,,axial mri of the brain showed brain metastasis. the maximum size of the brain metastasis was a tumor in the left lobe measuring 10 mm in diameter with surrounding cerebral edema.,,,,,,
,,,,,,,axial t1 weighted gadolinium enhanced mri scan showing gadolinium-enhanced nodular lesion in the left temporal lobe.,,
,,,,,,,"mri scan (sagittal view) was suggestive of sphenoid wing dysplasia on right side with herniation of right fronto-temporal lobe, temporal horn of right ventricle and csf through the defect. hemiatrophy of right cerebral hemisphere",,
,,,,,"coronal non-contrast t2 mri image of mediastinal mass coronal non-contrast t2 stir (short tau inversion recovery) image shows a heterogeneous, mixed solid and cystic mass in subcarinal location causing elongation and at least moderate narrowing of the left main bronchus (arrow).",,,,
,,,,,,,,50-year-old male with a glomus jugulotympanicum. axial gadolinium-enhanced t1 mri with fat saturation demonstrating tumor along the length of the eustachian tube with extension into the left nasopharyngeal region.,
,,,,,"mri coronal view shows perineural enhancement of the right maxillary nerve (arrow), and enhancement around cavernous sinus and the meckel cave",,,,
,,,,examples of breast findings by bi-rads category. a 49-year-woman underwent abdominal mri for liver evaluation. three-dimensional dynamic axial volumetric interpolated breath-hold examination image after intravenous power injection of 0.025 mmol/kg of gadoxetic acid (primovist) at 60 s. less than 50 % of the breast tissue was visible at abdominal mri. an oval nodule (white circle) was found in the inner quadrant of the right breast (20 mm). the breast finding was first categorized as bi-rads rm 3. after electronic medical record review this finding was downgraded as bi-rads rm 2 (known fibrolipoma). in the upper right corner is highlighted the breast findings (white arrow),,,,,
,,,,,,,infarct region compatible with large-size mca infarct in left frontotemporoparietal lobes on cerebral mri.,,
,,,,,,,,preoperative mri of a 62-year-old female patient revealed a typical nfpa with a regularly shaped tumor.,
,,,,,coronal section mri showing right basilar enhancement.,,,,
,,,,the magnetic resonance imagery (mri) t1 of the pelvis showed bone oedema of symphysis pubis and abdominal muscles after gadolinium injection,,,,,
,,,brain mri axial fluid attenuated inversion recovery (flair) image shows the characteristic periventricular areas of increased signal intensity (arrows) that are oriented perpendicular to and often contiguous with the lateral ventricles.,,,,,,
,,,brain diffusion-weighted mri shows small high signal lesions (arrow) in right occipital lobe.,,,,,,
,,,,,"coronal t2w, mri of same patient as in fig. 2, jna demonstrating multiple small flow voids in the vascular tumour and the utility of mri in distinguishing tumour from retained secretions in the left maxillary antrum.",,,,
,,,,,,,"rhabdoid tumour. axial t1w mri post-gadolinium enhancement showing a large heterogenous left renal mass with a hypointense metastasis in the right lobe of the liver, due to metastatic rhabdoid tumour in an infant. this is usually a very aggressive neoplasm.",,
,,,,,"prominent papilla.on coronal fast imaging employing steady-state acquisition mr image, nodular structure (arrow) is detected at level of major papilla (hypertrophic papilla). normally, papilla is scarcely distinguished from surrounding duodenal mucosal folds, but as seen in this image, normal papillas may be seen as oval protruding structures of 5-10 mm. mri and magnetic resonance cholangiopancreatography are important in hypertrophic papilla diagnosis and in detecting underlying pathology.",,,,
,,,brain mri of the index patient showing pnh.,,,,,,
,,,,abdominal mri showing cbd stones.,,,,,
,,,,,,"axial 3d time of flight mri of the head, noting the unusual origin of the left internal carotid artery (arrow) from the contralateral cavernous segment of the right internal carotid artery. note the course of the left internal carotid artery through the floor of the sella turcica.",,,
,,,,,,,,,"mri scan showing abnormal areas in segments two, three, and four of the liver."
,,,,,coronal t2 fs mri: black arrow shows a fungal concretion. white arrow reveals an enlargement and hyperintense signal of the right inferior rectus muscle and infiltration orbital fat.,,,,
,,,,,79-year-old man with meniscal ossicle. coronal proton density mri through root of anterior horn lateral meniscus again showing the meniscal ossicle (arrow).,,,,
,,,mri of the brain displaying left frontoparietal dominant extracranial soft tissue lesion.,,,,,,
,,,axial diffusion-weighted imaging (dwi) magnetic resonance imaging (mri) shows restricted diffusion in midbrain,,,,,,
,,,"post‐gammaknife mri‐brain and cavernous sinus/orbital apex. axial t2 precontrast slice, white‐dashed arrow identifies residual right cavernous sinus disease. solid white arrow identifies right temporal lobe mass.",,,,,,
,,,"mri brain with gadolinium contrast; fast spin-echo fat-suppressed t2 axial sequence demonstrating a lesion at the skull base, at jugular foramen level, dimensions approximately 26×14 mm.",,,,,,
,,,brain mri - increased signal in flair images in the withe matter territories adjacent to the lateral ventricles bodies and subcortical zone,,,,,,
,,,,"snr on mri.snr was determined, where si (signal intensity) is the average signal strength of the abdominal aorta wall, and sd is the standard deviation of the signal intensity in the background of the scan.",,,,,
,,,,,mild thickening of the distal ileum mucosal folds demonstrated by mri enteroclysis (3 months after the episode and still under corticosteroids) with true-fisp sequence in coronal plane,,,,
,,,,,,22-year-old female with uterine artery pseudoaneurysm. mri 3d mip gradient image demonstrating the pseudoaneurysm in the left aspect of the uterus myometrium (white arrow).,,,
,,,,,"mri spine of case 2, t2 coronal",,,,
,,,molar tooth sign.transverse t1wi of mri demonstrates appearance resembling molar tooth with horizontal tubular structure originating from midbrain on both sides of midline (arrows). this was patient with joubert syndrome.,,,,,,
,,,regression of tumormri of the brain showing decrease in size of patient’s hemangioblastoma at last follow-up.,,,,,,
,,,"in the left parasagital-frontoparietal convexity of brain mri, a small meningioma (2.1 × 2.0 × 1.4 cm) was newly detected.",,,,,,
,,,,,"coronal post-contrast mri sequences prior to craniotomy, demonstrating marked expansion with suprasellar extension and compression of optic chiasm (arrow) and intracranial invasion into right middle fossa",,,,
,,,,,"coronal t2w (tr / te = 5000 / 100) mri shows the mass (t), displacing the uterus (u) cranially, and causing distension of the fornices and enlargement of the vaginal lumen* with high signal intensity. note the acute angles (arrows) between the tumor and vaginal wall, suggesting its vaginal origin",,,,
,,,,,,,,sagital mri view of the tumor.,
,,,,,mri coronal view demonstrating resolution of macrocystic lymphatic.,,,,
,,,,pelvic-abdominal mri showing the transplanted kidney in the right iliac fossa.,,,,,
,,,,,t1 weighted coronal mri scan of the pelvis post partum.,,,,
,,,mri aspect with left brain hemisphere subdural haematoma in patient m.f. of 41 years old (45 days after the initial discharge from hospital),,,,,,
,,,brain mri axial t2wi without gad showing left mastoid air cell opacification and involvement of the left petrous apex,,,,,,
,,,"mri brain showed t2/flair signal hyperintensity over the bilateral posterior head regions, consistent with pres",,,,,,
,,,,,t2w dark-blood coronal mri image shows diffuse myopericardial thickening. the thickening is hypointense on t2w images also and is causing attenuation of the proximal svc (arrow),,,,
,,,,,,,,"a 40-year-old woman with breast cancer. the breast lesion was enhanced on dynamic mri before nact (a) and after final administration of nact (b). (a and b) the tumor response rate was calculated as 40% by dynamic mri. a radiologist traced the lesion margin to place the region of interest and calculated the adc before nact (c) and after the first cycle of nact (d). the initial adc value was 0.879×10−3 mm2/s, and the %adc was 14.8% after the first cycle of nact. gray-scale ultrasound depicts a hypo-echoic lesion with irregular margins before nact (e) and after the first cycle of nact (f). the response rate after the first nact administration was calculated as −9.5%. nact, neoadjuvant chemotherapy; adc, apparent diffusion coefficient.",
,,,,,,,mri of the abdomen (post contrast) showing multiple nodules in both lobes of the liver with faint central enhancement (arrow).,,
,,,,,,,,mri of the cervical spine demonstrating erosive metastatic tumor of the c4 vertebral body.,
,,,an 11-month-old female patient with gm2-gangliosidosis with bilateral thalamic involvement int2 sequence of the brain mri,,,,,,
,,,,,,case 2: occlusion of the right internal carotid and middle cerebral artery marked with an arrow (mri),,,
,,,,,"the mri study, coronal scan t1 fs ce: thickening and enhancement of the synovium in the midcarpal joints.",,,,
,,,mri brain t1w image showing hypointensity in the splenium of corpus callosum (white arrow),,,,,,
,,,,,mri t1 coronal view of the left knee.,,,,
,,,sagittal gd-enhanced brain mri after 5-course chemotherapy shows complete disappearance of the tumor.,,,,,,
,,,the brain mri shows residual hematoma in the right basal ganglia and an additional mass lesion in the splenium portion of the right corpus callosum.,,,,,,
,,,"mri of the brain. dwi shows no restricted diffusion at the left medulla which correlates to increased diffusion in adc.abbreviations: adc, apparent diffusion coefficient; dwi, diffusion-weighted imaging; mri, magnetic resonance imaging.",,,,,,
,,,diffusion-weighted images mri brain: areas of restricted diffusion in the region of the brain stem,,,,,,
,,,"sagital mri t1 weighted image of the brain and sella showing features of increased intracranial pressure in a 7-year-old boy, partial empty sella syndrome.",,,,,,
,,,sagittal section of the mri brain demonstrating the pituitary mass.,,,,,,
,,,mri brain (coronal section) showing right sided temporopareital infarction,,,,,,
,,,mri of the brain showing abnormal gadolinium enhancement in the swollen left oculomotor nerve (solid arrow). the right oculomotor nerve is indicated by a dotted arrow.,,,,,,
,,,axial flair mri brain showing left temporal gyral hyper intensities (arrow) in addition to arachnoid cyst,,,,,,
,,,brain mri of patient aiv-5 showing cerebellar atrophy.,,,,,,
,,,,,,,,mri (axial t1): dorsal paravertebral mass (t7) (a) with extra dural deposits and compressin of the thecal sac (b) from tumor spread.,
,,,,,,,,post operative mri showing complete resection of tumor,
,,,,,"a-b) mri in axial and coronal view of right glottic t3 with fixed vocal cord and arytenoid, extending posteriorly to the pyriform sinus submucosa and reaching the posterior commissure and posterior crico-arytenoid muscles.",,,,
,,,mri brain t2wi (axial view) showing isointense to hypo intense lesion in the left frontal lobe,,,,,,
,,,mri of the brain demonstrating left parieto-occipital subcortical t2 hypointensity on fluid-attenuated inversion recovery.,,,,,,
,,,,,coronal t2w ssfse mri shows lymphatic sacs (arrow) and channels (arrowhead) in the prevertebral region,,,,
,,,,,t2 coronal mri spine demonstrates a large paraspinal thoracic mass with compression and infiltration of the spinal canal,,,,
,,,t2w mri brain showing an area of demyelination at the junction of right middle cerebellar peduncle and pons,,,,,,
,,,,,,,,"mri of the small pelvis: mri scan performed in the 18th week of gestation showing the diffuse tumorous infiltration of the uterus, compression of the vagina, and dislocation of the cervix.",
,,,,sagittal view of abdominal mri. tumor (arrow) extends from the superior pole of the right kidney to the right atrium.,,,,,
,,,mri of the brain with and without contrast displayed left frontal lobe infarction (red arrow).,,,,,,
,,,,,,,,mri of orbital tumor.,
,,,mri brain: large right frontal lobe mass.,,,,,,
,,,,,,"augmented fluoroscopy. three-dimensional whole heart mr images are fused with angiographic images to augment procedural guidance. in this case, the left pulmonary artery in a child with a fontan circuit has been stented. the optimal angulation for imaging is predetermined using the mr dataset. blue ring markers on the mri dataset are used to guide the positioning of the stent. the images show good registration on the angiogram after stenting has taken place.",,,
,,,"mri of the brain (coronal view) shows a right cerebellar ring-enhancing lesion.mri of the brain from a vertical, frontal plan (coronal view) showing a large (25.3 mm diameter) ring-enhancing lesion in the patient's cerebellum, which is indicated by the arrow. mri - magnetic resonance imaging.",,,,,,
,,,mri brain showing hyperintensity in the right optic nerve head,,,,,,
,,,,,"magnetic resonance imaging of the legs. coronal t2 fat-sat (fat suppression) mri sequences of the legs, showing several collections in the soft tissues of the right leg (arrows).",,,,
,,,,,coronal mri slice of the right wrist. the proximal pole of the capitate has a low-intensity signal (milliez type i).,,,,
,,,,,,,,,mri performed 4 weeks after initial ct also demonstrates resolution of infarcts in the liver and resolving infarcts in the spleen.
,,,,,mri coronal-t2w.,,,,
,,,,,,,,postoperative (24 hr) follow-up t1-wi axial mri demonstrates complete resection of tumor from the middle region.,
,,,,,,,,pelvic mri (2013): hyperintense t2-isolated tumoral mass on the left part of the douglas's pouch (arrow).,
,,,"field of view (fov).the field of view used for fmri acquisition during task performance, indicated as a blue translucent square overlaid on a sagittal slice through the anatomical scan of one of the participants. care was taken that the striatum, midbrain, fef and sef were in the field of view. in between functional runs, the angulation was checked regularly and adjusted if required.",,,,,,
,,,,,"mri head and neck coronal cut, after contrast, t2: a well-defined, t2 intermediate si solid lesion in the left superficial parotid lobe. there is diffuse intense enhancement. multiple enlarged lymph nodes in the left periparotid region.",,,,
,,,,,mri coronal image shows contrast retention in the tumour (arrow) after gadolinium injection. pharyngeal air column is displaced to opposite site.,,,,
,,,mri of brain t1 axial + gadolinium showing small tuberculoma in the right prepontine cistern before anti-tb treatment.,,,,,,
,,,,,coronal t2-w mri of a 14-year-old girl (patient 7). flattening and bright signal of the second through fourth metacarpal heads consistent with osteonecrosis,,,,
,,,brain mri. mri scan of the brain showing two closely related cerebral abscesses in the left occipital region and resulting peri-lesional edema and the mid-line shift,,,,,,
,,,brain mri with bilateral peripherally enhancing white matter lesions representing signs of active demyelination.,,,,,,
,,,,,"tuberculous arthritis of the metacarpophalangeal joint. coronal, fat-suppressed t2w mri shows hyperintense bone marrow edema on both sides of the third metacarpophalangeal joint with joint fluid effusion. the margin of the subchondral cortical bone of the head of the metacarpal bone is indistinct",,,,
,,,,,"right sacral alar insufficiency fracture in a 29-year-old woman with a 9-year history of corticosteroid therapy for systemic lupus erythematous. conventional radiographs showed normal appearance (not shown). coronal inversion recovery mri shows an area of hyperintensity in the right sacral ala (white arrows), centered on a linear hypointensity corresponding to the fracture line (black arrowhead).",,,,
,,,,,"coronal t2 weighted mri image showing bilateral “eye of the tiger” sign in globus pallidus as well as bilateral putaminal hypointensity. while there are some areas putaminal t2 hyperintensity, they are not clearly organized into a prominent lateral hyperintense rim and adjacent discrete hypointensity as in msa.",,,,
,,,electrode reconstruction from co-registered ct data one day after surgery (red) and one year later (blue). co-registered t1 mri displayed in background. note the non-linear bending of the trajectories due to brain shift respectively inverse brain shift.,,,,,,
,"75-year-old male patient, displaying dm with bilateral lung ild, bilateral femoral head necrosis.follow-up wbmri showed patchy, reticulonodular and ground glass opacities in bilateral lungs; the most pronounced in the lower right lobe (white arrow). both femoral heads showed the osteonecrosis area (white arrow) surrounded by curving high signal.",,,,,,,,
,,,brain magnetic resonance imaging (mri) revealing left side cerebellar abscesses.,,,,,,
,,,,,,,,"mri scan of the pelvis after two years on sirolimus, demonstrating a reduction in size of the perivascular epithelioid cell tumor (pecoma) (measuring 53 mm) following treatment with sirolimus.",
,,,,,,dwi mri showing the typical heart-shaped appearance of bilateral medial medullary infarcts. there is also a small infarct in the left posterior inferior cerebellar artery territory,,,
,,,,,,,"herpes encephalitis, mri section shows bilateral hyperdense lesions in the temporal and parietal lobes.",,
,,,mri brain (gre t2wi) showing multiple hypointense lesions diagnosed as cerebral cavernomas.,,,,,,
