chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
plain chest posteroanterior radiograph shows a mass of homogenous opacity occupying the entire left hemithorax.,computed tomography of left lung mass.,,axial t2w mri of the brain shows symmetric areas of hyperintensity involving the splenium of the corpus callosum (arrow),abdominal ct image showing marked cecal dilatation.,coronal computed tomography of the neck clearly showing the fish impacted in cervical esophagus,carotid ultrasound showing echolucent plaques. plaque in the far wall of the common carotid artery (arrow pointing down) and in the near wall at the carotid bifurcation (arrow pointing up).,"angiography revealing the tumor stain in the lateral segment of the left liver lobe (arrow), consistent with ct scan findings",computed tomography scan shows no evidence of tumor recurrence in the right parotid region at 18 months after the third operation.,longitudinal ultrasound scan of the liver shows the characteristic hyperechoic lesion created with radiofrequency ablation. these lesions were created within 1 cm of the liver dome.
"radiograph of chest and abdomen of a neonate following cardiac surgery, showing a misplaced intravenous line into a hepatic vein. the intravenous line has been introduced via the right femoral vein","the portable infantogram reveals a right side tension pneumothorax. massive air collection is observed in the right lung field, which caused right lung to collapse completely. the mediastinal structures are shifted to the left side and a linear low density exists in the mediastinum, which is considered to be pneumomediastinum. subcutaneous emphysema on the supraclavicular area can be seen on both sides.",,t1-weighted brain mri from patient showing infarction in right side of pons,"abdominal ct scan. the ct scan from this patient shows a mildly enlarged spleen measuring 14 cm in longitudinal dimension. he had multiple splenic lacerations however, and this slice shows a 3.7 cm transverse splenic laceration.","proton-density, fat saturation coronal sequence demonstrating the bony prominence at the femoral head-neck junction (arrow). also evident is a subtle, adjacent articular cartilage signal irregularity consistent with chondrosis.",us-guided thrombin injection therapy for an iatrogenic hepatic artery pseudoaneurysm with 21g needle (arrow).,the early scan (15 minutes after the injection of 20 mci 99mtc-sestamibi) shows intense focal uptake in the inferior aspect of the left lobe (white arrow) and faint retention lower than the left lobe of the thyroid gland.,"an example of tumor outlining based on ctp scan. roi is hand-drawn, with attempt to include the whole area of pathologic tissue visible on this axial scan.",axial section of ct scan showing the nodule in the liver which represents benign leiomyomatous nodule (red arrow).
"coronal slice of the chest ct scan, demonstrating multiple cavitating lung lesions.",the small air collection within the wall of the ileum was more clearly defined as a smooth‐layered air collection (red arrow) using the lung window setting.,,mri of brain with gadolinium showing overall decrease in midline shift and edema with no evidence of recurrence (arrow).,abdominal radiograph showing a markedly dilated small intestine.,coronal t2-weighted mri shows a lack of normal signal void of the left internal carotid artery.,final dsa showing normal blood flow in graft artery,left upper lobe cavitary area is seen with intra-cavitary mass (arrow). picc line is incidentally noted.,patient 8: iliac bone grafting 2 mo after removal of tumor.,"liver metastasis, segment viii."
a ct scan of chest showing bronchiectatic changes in the right lower lobe,"performed 29 months after bmt, this ct scan reveals huge cystic and cylindrical bronchiectases and ground glass zones on both sides of the lungs",,"postoperative ct aspect in patient b.i. of 71 years old; evacuated subdural haematoma, re-expansion brain, ventricular system on the median line",abdominal aorta after the coarctation segment and iliac arteries.,a coronal view showing the cyst and bladder.,cag showing a severe stenosis of the left main coronary artery,positron emission tomography scan revealed a large multi lobulated heterogeneously enhancing solid-cystic mass (7.8 cm × 7.7 cm × 5.8 cm) was seen in the left side of the neck arising from the left lobe of the thyroid gland with intense fluorodeoxyglucose avidity (standardized uptake value max 17.7) in the solid component and along the peripheral margin of the cystic component,peritoneal gastrointestinal stromal tumors in a 40-yearold male — axial contrast-enhanced computed tomography image showing large heterogeneously enhancing mass lesion (arrowhead) with necrosis in the peritoneal cavity,enhanced ct examination revealed dilatation of the intrahepatic bile duct in the left hemiliver.
"chest x-ray, pa, showing the position of the gun nails",right lung nodule (arrow).,,"presence of multiple small enhancing lesions scattered rosette in the brain parenchyma and cerebellar predominant in regions of the basal ganglia and the cerebral cortex, in favor of small abscesses formations.",abdominal ct-scan identify a small calcified spleen (yellow arrow).,"mri examination t1-weighted image, coronal cut for rotational rebuild with paramagnetic contrast, showing a fusiform aneurysm extending from the post emerging segment of the subclavian artery and demonstrating mural thrombi and misuse of adjacent structures. note also topography of vagus nerve. abbreviation: pl, posterior left; pr, posterior right.",intraoperative coronary angiography revealing a large aneurysm of the proximal right coronary artery as well as a subtotal stenosis of the circumflex branch.,computed tomography guided transthoracic core needle. puncture needle is in the consolidation area of right lower lobe.,mri of esthesioneuroblastoma/inverted papilloma collision tumor. mass can be visualized in addition to inspissated secretions in the surrounding sinuses.,"magnetic resonance image showing the patient's voluminous bilaterally enlarged polycystic kidneys (total kidney volume is 10,280 ml). several cysts are present in the liver."
"28-year-old male with massive hemoptysis and recurrent intractable hemoptysis. frontal chest radiograph: right-sided aortic arch, diminutive left hilum, small left lung hemithorax, and left-sided rib notching (white arrows).","volumes (lungs, heart, spinal cord, contralateral breast, clinical target, and internal mammary lymph nodes) contoured in accordance with rtog breast cancer atlas for radiation therapy planning: consensus definitions.",,"wilson disease. coronal section of brain showing small cystic cavitation and light brown discoloration in the basal ganglia, particularly in the putamen.","abdominal computer tomography (ct) scan showing diffuse reduction in the parenchymal thickness of the right kidney and multiloculated fluid collection of about 10 centimetres (cm), involving the anterior part and the upper pole of the right kidney and the ipsilateral renal artery.",radiographic image of contrast-enhanced coronal computed tomography scan showing enlarged left parotid gland and well-defined irregular soft tissue enhancing lesion in right buccal space and subcutaneous tissue,same patient as in figure 1. the distal shock array is in the right pulmonary artery in a position similar to a regular swan ganz catheter for haemodynamic monitoring,"a 59-year-old man with nodular hepatocellular carcinoma in the right lobe who underwent right hepatic lobectomy 2 years and 6 months ago. since this time he has been well, with no evidence of recurrence (group ii). a ct scan obtained during the delayed phase shows a well-defined, thin, enhancing capsule around the mass (arrowheads).",a water-soluble contrast enema revealed the tumor site (arrow) and the irregular stricture of the sigmoid colon between the tumor and the anastomosis site (arrowheads).,all liver masses resolved after the immunosuppressant therapy.
isolated bronchial malinosculation - bronchial atresia. axial ct chest section in lung window shows a mucoid impacted bronchus (black arrow) supplying the apicoposterior segment of the left upper lobe with hyperinflation (white arrow) of the involved segment,a 32-year-old man with linear density in the right lung apex (arrow). this radiographic image was acquired two years after a successful treatment for pulmonary tuberculosis.,,"in a cranial mri performed in 2006, the flair sequence revealed no pathological lesions anywhere in the brain. in particular, the right-sided supramarginal gyrus, where the cavernoma would later develop, shows no evidence of any signal alteration.","a 60 year lady presented with abdominal mass underwent pet/ct study as part of the presurgical evaluation. ct scan shows a large abdominal mass arising from the left adnexa, with areas of focal soft tissue densities in the peripheral sheath of a mixed fluid/fat attenuation",coronal stir image performed 50 days after corticosteroid therapy showing normal signals in both femoral heads. stir = short τ inversion recovery.,compression of the common femoral vein at the level of the bifurcation of the common femoral artery.,"a non-contrast ct abdomen (axial view) showing portal venous gas within the left lobe of the liver (white arrow). also, a non-specific left adrenal nodule measuring 24.2 mm×18.9 mm is visualized.",40-year-old female with history of intermittent right flank pain and features of cushing's syndrome diagnosed as having adrenocortical carcinoma with tumor thrombosis. pet ct scan shows intense fdg uptake (suv max 8.6) in the right suprarenal tumor (solid curved arrow) and the intracaval tumor thrombus (solid straight arrow).,liver angioma
method for determining cardiothoracic ratio.digital posterior-anterior chest radiograph (cxr) with maximal cardiac diameter in red and maximal thoracic diameter in green. cardiothoracic ratio (ctr) is 0.57.,high-resolution computed tomography image. no structural abnormality is seen in the lung field by high-resolution computed tomography.,,mri of the brain showing foci of calcification (arrows) in bilateral basal ganglia and subcortical regions of bilateral cerebral hemispheres,sixty-six year old woman with stage iv serous cystadenocarcinoma of the ovary. dense infiltrative non-resectable disease in the mid abdominal mesentery (block arrow) with resultant cicatrization of the surrounding bowel loops. innumerable additional nodular deposits (arrows) are scattered in the remaining small bowel mesentery which would also constitute non resectable disease,t1‐weighted gadolinium‐enhanced magnetic resonance image (coronal view) of a 14‐year‐old boy with juvenile idiopathic arthritis and inflammatory temporomandibular joint (tmj) arthritis. the superior (arrows) and inferior (arrowheads) joint spaces are shown bilaterally. regions of interest used to calculate the enhancement ratio (er) are indicated at the inferior right tmj space (circle) and left longus capitis muscle (ellipse). qualitative radiologist interpretation noted moderate to severe bilateral tmj synovial enhancement. quantitative analysis found er = 2.48 (right) and 2.52 (left).,cerebral angiogram. an exaggerated transfacial view of a selective right vertebral artery injection did not show a clear area of enhancement in the right cerebellopontine angle. the caliber of the mildly displaced left anterior internal cerebellar artery (arrow) is smaller than the right side (star).,hepatic angiography. it shows a large hypovascular mass in the left lobe (arrowhead) and some dot-like small nodular staining lesions around the left lobe. a small nodular hyper staining mass is noted in the right posteroinferior segment (arrow).,ct scan showing left renal tumor before ric hsct.,liver and vertebral uptake.
chest radiograph showing no abnormality.,confluence of multiple b lines into what appears as the hyperechoic ‘white lung’.,,"brain mri – a single uncharacteristic small focus in hemispheric white matter.abbreviation: mri, magnetic resonance imaging.",magnetic resonance imaging (mri) of the abdominal mass,"coronal mri of the pelvis, t1-weighted image. the intraosseous abnormality characterized by intermediate to low signal on t1 involving the right femur (dotted circle) and the right ilium (arrow) represents the fibrous dysplasia lesions of the involved bones.",selective coronary hooking of right coronary artery reveals normal right coronary artery,left lower lobe pneumonia with large pleural effusion,"fluorescein angiogram of a large amelanotic choroidal melanoma, notice the double circulation sign with visible leaking choroidal vessels at the tumor.",the same case of the hepatic hemangioma as in figures 2 and 4 . hepatobiliary phase in mr presents weaker enhancement of this lesion in comparison to the adjacent liver parenchyma.
chest radiography from case 1 showing a pneumomediastinum.,"high resolution mdct images showing tracheal bronchus (bronchus suis; arrowheads), to the right upper lobe originating from the right side of trachea. (a) coronal reconstruction in lung windows. (b) coronal minip reconstruction. (c) 3d volume rendering reconstruction. mdct: multi-detector computed tomography; minip: minimal intensity projection. 3d: 3-dimensional.",,magnetic resonance imaging of the brain t2 flair sequence showing bilateral symmetrical medial thalamic hyperintensities (case 1),axial t2-w fat-supressed mr. 11-month-old boy with a right abdominal mass with a partially intrarenal localization (black arrow) and liver metastases. 123-iodine-mibg-scan was positive for neuroblastoma,mri: coronal section shows gallstones and the pointed filling failure in the distal common bile duct.,"modified parasternal view showing origin of left coronary artery from pulmonary artery. lca: left coronary artery, pa: pulmonary artery, rv: right ventricle.",thoracic ct scan with primary tumor in the middle lobe and miliary metastatic pattern.,"skin horns on the inside surface of a rabbit ear, with advanced steep elevated (c.c.) and a few young tumors (c.c′.).","ct of the abdomen prior to drain removal demonstrating both healing of the liver laceration and resolution of the intra-hepatic infection; however, pneumobilia persists"
chest x-ray showing right-sided pneumothorax.,lung window.,,"t2w axial mri of the brain shows multiple cystic lesions with hypointense eccentric nodules, in both cerebral hemispheres, the midbrain, the cerebellum, and the extraocular muscles",simple abdominal x-ray presents multiple dilated small bowel loops.,computed tomography of abdomen (coronal view) showing right kidney mid pole mass turned out as renal cell carcinoma upon radical nephrectomy.,normal left coronary angiograms without coronary artery fistula after surgery.,"thoracic x-ray: multiple pulmonary nodules are identified, with upper lobe predominance. note that some nodules show cavitation.","sagittal ct scan showing circumferential and heterogeneous urethral tumor, not involving the bladder (arrows show uterus, vagina and urethral tumor).",63-year-old female with aml. axial precontrast ct of abdomen shows a low-attenuation liver lesion (black arrow) with an average of −26 hu. the left adrenal gland demonstrates a 1.7-cm nodule (white arrow) with an average of 14 hu.
"computed tomography chest demonstrating cavitary lung lesions (yellow arrowheads). (for interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",ct scan performed 2 months after sabr shows significant reduction in size of the treated lung lesion without evidence of radiation pneumonits.,,computed tomography of brain (bone window). computed tomography brain scan showing multiple lytic lesions in the calvarium (arrow).,an abdominal x-ray showing a diffuse opaque area in the upper abdomen without a gastrointestinal gas shadow; this finding was accompanied by a downward dislocation of the transverse colon,"contrast-enhanced ct abdomen with coronal reconstruction showing the ingested foreign body as a bony attenuation in the sigmoid colon with the tip projecting beyond the bowel wall, and surrounding fat stranding suggesting inflammatory changes.",angiographic findings of the tumor. angiography via the left gastric artery showed staining of the tumor.,liver ultrasound showed derangement of the liver parenchyma architecture with fine nodular patterns on the liver surface with a hypertrophied left hepatic lobe; no intra hepatic duct dilatation was seen,"pt4 carcinoma, caused by pancreas invasion, infrastaged as ut3. large tumor mass that prevented the assessment by us miniprobe in all its depth","i, cect of the abdomen shows metastasis in morison’s pouch (blue arrow) and in the anterior peritoneal surface of the liver (g green arrow) and a subcutaneous nodule (red arrow)."
chest x-ray on the day of admission showing diffuse bilateral haziness and air bronchogram.,postoperative state after an esophageal rupture without any significant lung parenchyma lesions.,,t1 weighted mri of the brain obtained after administration of intravenous gadolinium demonstrating a ring enhancing metastasis in the posterior left parietal lobe.,"axial t1-weighted image of lower abdomen, showing dumbbell-shaped right lower quadrant mass adjacent to the psoas muscle, extending through the abdominal wall into the overlying subcutaneous tissue. [powerpoint slide]","coronal 18f-fdg pet/ct image indicating high 18f-fdg uptake in the relatively enlarged right thyroid lobe (maximum standardized uptake value of 8.8). 18f-fdg = 18f-fluorodeoxyglucose, pet/ct = positron emission tomography/computed tomography.","selective right carotid angiogram after three-minute common carotid artery balloon angioplasty, demonstrating no further contrast extravasation.",neck ct: a reveals a large heterogeneous mass that has replaced the left lobe of the thyroid gland.,right breast mri in the sagittal plane.the dimensions of the tumor were measured and annotated on the mri image.,"t1rho map with coefficient of determination r2 > 0.8 evaluation. five regions of interest are placed on liver parenchyma region, excluding observable artifacts and blood vessels."
ct scan of the chest showing a large localised blood clot (black arrow) compressing the left ventricle (white arrow). also note bilateral pleural effusions.,computed tomography scans of the right lower lobe of the lung reveal a round mass approximately 3 cm in diameter.,,"32-year-old man with history of wilson's disease who presents with slurred speech. t2-weighed, axial mri image shows presence of hyperintensities involving dorsal midbrain.",abdominal x-ray shows nonspecific gas distension in the colon.,coronal ct view: hepatic colonic flexure and some liver tissue are included in the sac of ttih.,severe stenosis of left subclavian artery.,left parietal lobe infarction.,a ct scan image showing the adrenal tumor and the pertinent hematoma.,axial computerized tomography of the abdomen in a liver window demonstrating heterogeneous attenuation of the liver (arrow).
chest x ray pa view (2006) shows homogenous opacity in right mid and lower zone,"fused lung vessel and perfused blood volume map image in a patient with acute pulmonary embolism. the vessels containing iodine are coded blue. the subsegmental branch with acute pe is highlighted easily on the lung vessel map, which can be fused on perfused blood volume maps",,mri scans of the brain showing regression of pituitary mass,cross sectional (axial) area of subcutaneous abdominal fat (saf) and abdominal visceral fat (avf) on l4–l5 vertebrae topography.each area comprehends contiguous images within outlined boundaries.,coronal view of opacification on ct showing the externalization of the drain in the pericardium (arrow).,contrast-enhanced pelvic ct scan showing the aneurysm of the left internal iliac artery protruding into the urinary bladder (transverse view).,cardiac mri with gadolinium enhancement demonstrating the presence of the anomalous pulmonary vein (white arrow) arising from the left apical posterior and anterior segments of the left upper lobe and connecting to the left brachiocephalic vein.,"68ga-dotatate-pet with multiple bone metastases in the spine, the rips and at the skull base (marked by arrows). physiologic tracer uptake in the liver, the kidneys, the adrenals, the stomach, pancreas, spleen and the small bowel. this 41 year old female sdhb mutation carrier had first undergone resection of a malignant carotid body tumor with regional lymph node metastases seven years earlier.","computed tomographic scan of abdomen of patient 3, showing multiple, small liver abscesses."
ct scan showing extensive mesothelioma of the chest wall and esophagus.,"a dark shadow can be seen, consistent with pleural fluid masking the demarcation line between mediastinum and pleura at the inferior zone of the right lung.",,mri of the brain with gadolinium: coronal t1w enhanced section showing the same findings with the mass in close proximity to the superior sagittal sinus. 135×135 mm (300×300 dpi).,abdominal x-ray (ap view) showing the needle in the region of the liver,computed tomography (ct) of abdomen (coronal view) showing a colonic mass at the hepatic flexure (size appreciated with the help of a ruler).,"coronary angiography rao 8/caudal 0 view showing big ostial lm thrombus with normal lad, lcx and rim arteries. rao: right anterior oblique; lm: left main; lad: left anterior descending; lcx: left circumflex; rim: ramus intermedius artery.","a frontal radiograph shows a segmental collapse of the right upper lobe. note the elevation of the lesser fissure and the right hilum and a minor mediastinal shift to the right. this was an asthmatic patient, with a mucus plug",transcatheter arterial embolization sequence as shown in a right hepatic angiography. the angiography also demonstrated hypervascular lesions in the cystic tumor.,axial noncontrast ct image through the upper abdomen shows a large heterogeneous mass of relatively low attenuation within a large portion of the liver (white star) and portahepatis lymphadenopathy (white arrow).
castleman disease. contrast-enhanced chest ct scan shows matted lymphadenopathy (arrows) formed by confluence of inhomogeneously enhancing enlarged lymph nodes confined to anterior mediastinum.,"initial computed tomography (ct) scan of the lungs showing increased lung markings, plaques and nodules of varying sizes.",,brain metastasis.,abdominal scout image from a computed tomography.,computed tomography of the coronal view demonstrating the blockage of the ostiomeatal complex. a medial mass lesion at the lacrimal sac is noted. a bony osteium in the lacrimal bone is apparent from the first initial external dacryocystorhinostomy providing patency into the nasolacrimal duct.,left ica dsa after aneurysm has been clipped showing that the helical coil (arrow) is in the pericallosal artery with good distal blood flow.,transverse section usg of left lobe of liver showing subcapsular hepatic blood flow (white arrow),"in group 2, target areas were set to include tissue 0.5 cm outside the tumor margins, extended in all dimensions.","uneven distribution of fat in the liver. it measures 11.5% in segment 7 and 5% in segment 8. sd, standard deviation."
