mri + t1-weighted and chest,mri + t1-weighted and lung,mri + t1-weighted and brain,mri + t1-weighted and abdominal,mri + t1-weighted and artery,mri + t1-weighted and lobe,mri + t1-weighted and liver,mri + t1-weighted and abdomen
,,,"abdominal mri reveals the right kidney of the length of 78 mm in a typical location. within the enlarged and deformed collecting system of the right kidney, numerous well-delimited, circular and polycyclic lesions were found, which mainly fill the middle and lower calyces (with intermediate signal intensity in t1-weighted images and with low intensity in t2-weighted images), without contrast intensification in the sequences after the administration of a contrast medium.",,,,
,,,,,"axial in-phase gradient echo (gre) t1-weighted magnetic resonance imaging (mri) scan, obtained as a part of dual gre (chemical shift) sequences, showing a focal mass in the right lobe to be hypointense when compared to liver parenchyma, but iso-intense compared to spleen parenchyma.",,
,,t1-weighted brain mri showing hyperintensities in substantia nigra,,,,,
,,,,,"orbital anatomy. high-resolution axial t1-weighted native mri of a volunteer without structural abnormalities at 3.0 tesla. structures removed during enucleation (globe, part of the optic nerve, insertions of the external eye muscles) are highlighted by the red ellipse.",,
,,,,,t1-weighted mri fsgd (fat sat and gadolinium). lateral displacement of the globe. mucous retention in the left maxillary sinus.,,
,,t1-weighted brain mri showing ischaemic lesion of left posterior putamen.,,,,,
,,t1-weighted mri brain with contrast showing 5.7 cm thrombosed left mca aneurysm.,,,,,
,,brain imaging findings in the patientan axial t1-weighted mri image of the patient at the age of 11 years. there is extensive loss of both gray and white matter with corresponding widening of the csf spaces and thickening of the skull. both thalami (arrows) show shrinking and signal change.,,,,,
,,,,t1-weighted gadolinium-enhanced mri showing left cerebellar encephalomalacia consistent with an old infarct of the left posterior inferior cerebellar artery.,,,
,,"coronal t1-weighted mri brain to demonstrate how the site of a small subcortical (lacunar) infarct could influence clinical presentation. a small subcortical infarct lying in the left internal capsule, i.e. deep white matter (a), would cause functional disconnection of a large area of cortex (b, shaded). a peripheral small subcortical infarct lying close to cortex (c) would affect only a limited area of cortex (d, shaded), and could mimic a mild cortical stroke.",,,,,
,,brain mri (t1-weighted image) was repeated and showed marked decrease in the volume of cerebral edema following 10 days of therapy with prednisone. note the increased space of the gray-white matter junction and the ventricles (arrows).,,,,,
,,,abdominal magnetic resonance imaging (mri). the t1-weighted images show high signal intensity and many partition walls.,,,,
,,typical mri manifestation of brain sagging.midsagittal t1-weighted mri shows downward displacement of the cerebellar tonsil by 5 mm (arrow).,,,,,
chest mri using intravenous contrast medium showed iso-intensity of the mass on a t1-weighted image.,,,,,,,
,,,abdominal mri. a mass which is slightly enhanced and demonstrates mass effect on the surrounding organs is shown on gadolinium-enhanced t1-weighted images (arrows).,,,,
,,"brain mri: t1-weighted axial mri view of the brain which shows the classical agyria pattern and ventriculomegaly. mri, magnetic resonance imaging.",,,,,
,,brain mri (t1-weighted image) showed diffuse swelling of the brain due to extensive edema of the white matter characterized loss of gray-white junction and collapse of the ventricles (arrows).,,,,,
,,t1-weighted axial mri of the brain demonstrates multifocal high signal in a subarachnoid distribution (white arrows) confirming the presence of cholesterol secondary to rupture.,,,,,
,,t1-weighted sagittal mri of the brain shows uniform cerebellar loss.,,,,,
,,empty sella combined with intrasphenoidal meningocele formation in magnetic resonance imaging (mri) scan of brain. sagittal t1-weighted. huge cystic structure from pituitary sella herniated into sphenoid sinuses causing sellar floor destruction and wall of sphenoid and ethmoid sinuses remodeling is found.,,,,,
,,3d rendering of parcellation of a 9-year-old child’s brain from mri. the surface model is depicted on top of a mid-sagittal slice from the t1-weighted mri. comparison of regional tissue volumes across subjects can be employed to indicate localized structural differences.,,,,,
,,,,,cortical-subcortical increased signal intensity in bilaterally frontal lobes on t1-weighted images on cranial mri on the second day of hospitalization,,
,,mri brain t1-weighted image showing left fronto-parietal subdural hematoma with effacement of left side gyri and sulci,,,,,
,,,,arterial phase t1-weighted mri image (transverse view) showing anomalous arterial supply to ectopic left kidney and mass (star). proximal left renal artery (short arrow) branching off distal aorta. distal left renal artery (long arrow) branching off left common iliac artery.,,,
,,hemorrhagic cardioembolic infarction in a patient with a spectacular shrinking deficit syndrome visualized in the brain mri study (spin-echo hyperintensity t1-weighted image).,,,,,
,,head magnetic resonance imaging findings (t1-weighted fat suppression gadolinium-enhanced image) after 35 months of pazopanib administration. this mri showed brain metastases with surrounding edema and a midline shift.,,,,,
,,,,,"an example of rois placing.a 67 years old man with a suspicious high grade glioma in right temporal lobe on t1-weighted contrast-enhanced mri. roi 2 and roi 3 were placed in the tumor parenchyma and peritumoral area, respectively; roi 4 was put in the contralateral normal hemisphere.",,
,,"midsagittal t1-weighted mri shows the neural structure of the posterior cranial fossa. d : the length of the hindbrain midbrain-pons junction and the medullocervical junction, f : the vertical length of the tentorium with cerebellum.",,,,,
,,brain mri. sagittal t1-weighted image demonstrating intact corpus callosum.,,,,,
,,,,"patient 1 t1-weighted enhanced mri scan: encapsulated tumor of the left retrostyloid compartment, 5 cm by 4 cm in size (white star). the internal carotid artery (black arrow) is displaced anterolaterally; the internal jugular vein is displaced posteriorly (horizontal white arrow).",,,
,,,,"coronal post-contrast t1-weighted mri shows the pituitary gland (arrow), infundibulum, or stalk (s) and the laterally related intracavernous internal carotid artery. the width was measured as the maximum distance to the left and right sides of the pituitary gland.",,,
,,axial postcontrast t1-weighted brain mri shows a contrast-enhanced left-sided lesion in the periventricular white matter.,,,,,
,,preoperative mri axial cut t1-weighted contrast image shows ventroinferior displacement of cerebellum and brainstem,,,,,
,,"change in skull and brain conformation in griffon bruxellois with cm and syringomyelia.the t1-weighted midsagittal mri image is from dog a (without cm or syringomyelia) and the framework of lines and angles is indicated in blue and higher case letters with the exception of angles 2 and 5 which are numbered in yellow. the framework of dog d (with cm and syringomyelia) has been superimposed on the image and aligned with baseline hai and on the f-diameter. the framework of dog d is in red and with lower case letters. angles 2 and 5 are yellow. it is possible to appreciate how with syringomyelia, the occipital lobe circle and height of cranial fossa increases (red circle). angles 2 and 5 (yellow) are decreased as a consequence of the cranial base shortening and increased proximity of the atlas to the occiput. in addition the vertexes at e and d (red triangles) are closer together giving an appreciation of the overcrowding and change in shape of the caudal fossa. the white arrows depict the changes between the measurements.",,,,,
,,,,,t1-weighted mri image showing large multiseptated cystic lesion in right lobe of liver.,,
,,,,post-gadolinium enhanced t1-weighted magnetic resonance image (t1w mri) shows intensely enhancing lesion in the left cavernous sinus (arrow) lateral to medially displaced internal carotid artery. lesion appears larger as compared to t2-weighted (t2w) coronal image [figure 1].,,,
,,,,,,t1-weighted gradient-echo opposite-phase mri image of the liver showing multiple bilateral moderately intense lesions.,
,,,67-year-old female with epigastric and left-upper-quadrant abdominal pain. mri abdomen t1-weighted 3 d vibe axial image at the level of pancreas shows pancreatic tissue (arrows) surrounding the duodenum (d). also visible is the common bile duct (arrowhead).,,,,
,,t1-weighted mri of the brain shows the left paracavernous dermoid cyst (white arrow).,,,,,
,,,,,,"typical mri scan changes in prolactinomas adenoma. an enhancing mass lesion is seen in the sella turcia under the t1-weighted postcontrast mri scan performed 1 year after masep gkrs, but the volume of the mass had collapsed for more than 50%. patient 2's clinical symptom did improve. her serum prolactin level came down to 14.5 ng/ml, and she got gestation and delivered a healthy baby recently.",
1,1,38,6,7,13,7,2
