mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
"axial t1wi post gadolinium image from orbital mri study performed for globe pain and acute visual loss.thickening and enhancement of left retina, posterior choroid and optic disc are observed, suggestive of posterior uveitis, which may be associated with inflammatory conditions such as sarcoidosis or infections such as toxoplasma or cytomegalovirus. underlying neoplasm, e.g., metastasis was less likely as no focal lesion was detected. patient was not available for follow-up. t1w1 = t1-weighted image","mri follow-up control after the second embolization (t2-weighted): vein of galen still patent, but significant decrease in seizure. nbca-casts in the sack.","mri image of the lesion (axial slice, green arrows indicate the area affected by the lesion).",x-ray of the right hip showing an incomplete subtrochanteric fracture of right hip.,brain ct obtained 6 days after cerebral angiography shows improved sulcal obliteration of right cerebral hemisphere. ct = computed tomography.
axial spin-echo t1-weighted image; mri scan taken at the time of antibiotic treatment initiation. the right piriformis muscle is enlarged. the surrounding fat planes are intact.,"mri, coronal section, t2-weighted image: the enlargement of the optical chiasm can easily be seen.",axial mri with contrast showing heterogenous enhancing solid and cystic component of tumor,x-ray showing healing fractures in seven ribs of a two-month-old baby.,a computed tomography scan of the chest shows the main pulmonary artery was obstructed circumferentially.
"neuro-sarcoidosis: multiple granulomas in the white matter of both brain hemispheres (contrast enhanced t1-weighted mri image). focal parenchymal lesions are t2-hyperintense and t1-isointense (with homogeneous contrast enhancement, as in this figure).","magnetic resonance image scan of the neck. fast t2-weighted mri scan demonstrates the right glomus jugulare tumor (adjacent to right cochlea, arrow), and bilateral glomus vagale tumors (arrows).",mri t1 image (sagittal view) non-contrast fat saturated showing fluid level,plain abdominal x-ray after 3 days,contrast enhanced computed tomography of abdomen showing the small enhancing periampullary neuroendocrine tumor (arrow)
"hemangioblastoma. contrast-enhanced axial t1-weighted mri sequence showing a solid-cystic lesion, with intense enhancement of the solid portion, affecting the right cerebellar hemisphere.",disc space narrowing and degenerative changes at the l3-l4 level (arrow) on sagittal t2-weighted mri.,"patient 8 with symptom recurrence at month 9, with a monthly episode of cholangitis. non-conclusive mri. transparietohepatic cholangiography was done, showing absence of stricture; good contrast passage to the jejunum","chest x-ray, pa, showing the position of the gun nails",computed tomography scan shows a mass arising in the retro peritoneum.
"coronal t1-weighted mri showing the presence of a septum within the fourth ventricle and diffuse arachnoid enhancement in the medulla oblongata, pons and cerebellar hemispheres.",mri brain t2-weighted image showing left fronto-parietal subdural hematoma,"mri of the abdomen. arrows indicate multiple, subcutaneous nodules enhanced by intravenous contrast agent",chest x-ray showing right-sided pneumothorax.,initial computed tomography (ct) scan of the abdomen. cross-sectional image of the mid portion of two intussusceptions (arrows) illustrates small bowel invagination of the small bowel. no evidence of bowel obstruction.
axial t1-weighted mri showing a lesion in the anterior portion of the left masseter muscle (white arrow). the signal intensity is slightly higher than in the muscle.,t2-weighted axial mri comparable in position and image acquisition to figure 4 demonstrating complete resolution of ivc thrombosis (white arrow) after 4 months of oral anticoagulation therapy,brain mri: axial section (t2) showing optic nerve glioma.,"an x-ray of the wrist demonstrated no significant findings such as rheumatoid arthritis, distal radius, or carpal fracture.",computed tomography (ct) guided needle biopsy of the left upper lobe lesion.
"a 3-month-old patient. sagittal t1-weighted mri slice, without contrast, showing craniofacial disproportion with a microcephalic aspect, together with occipital prominence and cutis verticis gyrata (arrowheads). note also the confluence of the enlarged dural venous sinuses and the heterogeneous material (arrow).","t2-weighted sagittal mri showing the fracture (indicated by arrow) of the sternum. mri, magnetic resonance imaging.",abdominopelvic mri showing a large mass containing fetus in right adnexa in close contact with uterus.,x-ray of right foot showing metatarsal osteomyelitis. extensive destruction of the fifth metatarsal bone is present.,preoperative computed tomography scan: lipid formation without any capsular structure in the perineum.
"axial section of t1-weighted mri showing the measurements of a antero-posterior diameter (black line, a) and transverse diameter (black line, b) of the cord, from which rapt is calculated and b cross-sectional area of the spinal canal (white continuous line) and spinal cord (white dotted line)","sagittal mri t2-weighted demonstrating an intramedullary mass spanning t6 to t11. the mass measures 7.8 × 1.4 × 1.5 cm and is the largest in diameter at the t8 level where it demonstrates considerable cerebrospinal fluid effacement. there is no associated syrinx. post gadolinium contrast imaging (not shown) shows patchy enhancement, most evident in the inferior aspect of the lesion.",mri image of the brain in an axial view showing the “precontrast flair image”. note the abnormal lesions (circled) in the per ventricular area suggesting white matter pathology.,x-ray of the kidney and urinary bladder shows calcific specks (arrow) in the left hemipelvis with double j stent on the right side.,contrast-enhanced axial ct brainmultiple solid enhancing cortical lesions with dense gyriform calcifications are seen in both cerebral hemispheres. ct- computed tomography
parameningeal rms in a 6-year-old girl. t1-weighted post-gadolinium axial mri shows an avidly enhancing mass in the left sphenoid sinus extending into the posterior nasal space and pterygopalatine fossa (arrow). histologically this mass was rhabdomyosarcoma but similar mri appearances may be due to angiofibroma.,t2-weighted mri showing a distended gallbladder enhanced by mixed signal intensity (hemorrhagic or exudative-like) component.,mri of the brain; hemorrhagic infarction of the left temporal lobe,"anterior-posterior x-ray 6 weeks after operation, showing unchanged position and signs of consolidation.","computed tomography scan interpreted as cholelithiasis, despite a previous cholecystectomy. double arrows point to extrabiliary gallstones."
t1-weighted coronal mri pituitary – view at presentation showing large 48×52×28 mm midline hypervascular cystic sellar mass causing significant brain oedema and extending into the suprasellar region with cavernous sinus invasion and chiasmal compression.,axial t2-weighted mri reveals extracapsular extension of prostate cancer with obliteration of the left rectoprostatic angle (arrow) and soft tissue mass extending to the anterior serosal surface of the rectum,proton density fat-suppressed mri of the knee showing evidence of traumatic patella dislocation with subchondral boney oedema of the patella and a large chondral defect of the medial patella facet.,x-ray of the spine in anterior-ppsterior projection after dorsal spondylodesis,positron emission tomography-computed tomography coronal slice: adenoma of the parathyroid that incidentally took-up 18f-fluorocholine (suvmax 3.4).
atypical menigioma. axial t1-weighted mri.,t2-weighted axial mri comparable in position and image acquisition to figure 1a demonstrating complete resolution of haematoma and ivc (white arrow) without thrombus after 4-months of oral anticoagulation therapy.,"mri correlation of right lower leg (sagittal section, post-gadolinium) showing ring-enhancing nodules and bone marrow infiltration of the calcaneus. spherical lesions showing hyperintense signal, the so-called dot-in-circle sign in mycetoma.",x-ray on admission showing left homogenous opacity and pulling of the mediastinum towards the same side,contrast-enhanced coronal computed tomography image demonstrates the persistent left superior vena cava (white arrows) and the coarctation connecting from the tubular arch hypoplasia (white arrowhead)
t1-weighted enhanced mri.,mri followup control after the first embolization (t2-weighted): dilated vein galen after intervention with nbca-cast (arrow).,"mri scans shows infiltrating angiolipoma lesion in the left posterior thoracic wall, deeper to trapezius and rhomboid muscles (arrow).",x-ray right shoulder anteroposterior view showing avascular necrosis of the head of the humerus,coronal computed tomography of the neck clearly showing the fish impacted in cervical esophagus
mid-sagittal non-contrast t1-weighted mri in a 26-year-old male shows the pituitary gland (arrow). the neurohypophysis is marked by the posterior bright spot. the pituitary height is measured as the maximum cranio-caudal distance and depth as the antero-posterior distance.,strategic infarct dementia type of vascular dementia on t2-weighted brain mri.,magnetic resonance imaging (mri) of the abdominal mass,chest x-ray on the day of admission showing diffuse bilateral haziness and air bronchogram.,"computed tomography chest demonstrating cavitary lung lesions (yellow arrowheads). (for interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
t1-weighted coronal mri pituitary – view following 6 months of cabergoline treatment showing significant tumour shirinkage.,"postoperative t2-weighted mri scan of patient with multiple sclerosis following a cervical laminectomy c5, c6, c7 followed by c2-t2 fusion. the study demonstrated chronic cord atrophy and marked focal intracord t2 hyperintensity from c4-c7, most prominent at/immediately below the c45 level. a central less intense signal was seen at c3 without cord expansion/pathological enhancement, consistent with the history of ms and chronic myelomalacia. excellent decompression of the spinal canal was seen at all levels without recurrent/residual spinal stenosis/extrinsic cord deformity",mri spine – narrowing of cervical canal.,abdomen plan x-ray.,"an expansile, lytic mass involving right zygoma and lateral wall of right orbit (contrast enhancing computed tomography)"
sagittal t1-weighted fast spin echo magnetic resonance imaging (mri) of the right knee taken 3 months post-injury. the medial meniscus is reduced and has developed a degenerative undersurface tear.,t2-weighted sequence of abdominal mri where small bilateral renal cyst and pelvic ecstasy are observed.,mri showing the hypointense lobulated mass in the lateral ventricle.,chest x-ray of the patient. a chest x-ray showed a faint patchy opacity over the periphery of the right upper lung zone (black arrow).,computed tomography scan depicting submental lymph node showing central hypodensity and peripheral rim enhancement
"sagittal t1-weighted mri of the lower thoracic spine in a 20-year-old man with dsrct. there is a heterogeneous paravertebral mass lying anterior to the t11 and t12 vertebral bodies (white arrowheads). whilst there is no direct invasion of the vertebral bodies, there is low signal intensity within the t11 and t12 vertebral bodies in keeping with bony metastatic disease (white arrows)","preoperative mri of case 1preoperative magnetic resonance imaging (mri) of case 1 (t2-weighted), which revealed a hyper-intense lesion (white arrow) with a hypo-intense rim.",axial contrasted mrimri enhancing right parafalince extra-axial lesion (asterix) with surrounding edema and mass effect.,x-ray of the chest (a) and right shoulder joint (b) showing metastatic changes,transaxial section of the positron emission tomography-computed tomography fusion image showing intense fluorodeoxyglucose uptake in the anatomically normal tongue
22-year-old male with reverse segond fracture. sagital t1-weighted mri shows intact pcl (yellow arrow).,t2-weighted mri demonstrating iliofemoral thrombosis extending proximally into the infrarenal vena cava (white arrow) with extensive collateralisation (c) around the upper retroperitoneum.,mri: coronal section shows gallstones and the pointed filling failure in the distal common bile duct.,chest x-ray 17 days after admission.,computed tomography scan shows no evidence of tumor recurrence in the right parotid region at 18 months after the third operation.
preoperative mri scan. t1-weighted coronal mri scan demonstrating bilateral on of the femoral head.,axial t2-weighted mri image showing a signal void brain lesion in the left trigone area. the surrounding vasogenic edema is well demonstrated.,mri revealed a huge mass adjacent to the first and second lumbar vertebrae with extension into the spinal canal.,anteroposterior x-ray chest and neck,"axial computed tomography of the abdomen demonstrating a tumour (t) in the terminal ileum, which appears thick walled, located close to the caecal pole (c), mimicking an appendiceal abscess"
56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. axial t1-weighted mri of the liver demonstrates the soft tissue component is of intermediate signal.,"t2-weighted axial chest mri reveals no invasion by tumor of the underlying ribs or intercostal muscles, but a widely negative deep margin cannot be achieved without chest wall resection.",mri of the abdomen showing distended small and large bowel.,"x-ray of the hip joint obtained one year after the operation (supine position)there were no problems, and the patient’s clinical course was good and asymptomatic.",computed tomography cross-section of the pelvis showing right buttock inflammatory changes and a subcutaneous pocket of air lateral to the natal cleft. the pocket of air corresponds to the described abscess.
ja. axial t1-weighted post-gadolinium mri shows an enhancing soft tissue mass in the sphenoid and ethmoid sinuses with extension into the middle cranial fossa.,"high-resolution anatomic magnetic resonance image (mri) of the brain of a conscious mouse. this demonstrates the feasibility of conducting mri analyses in awake mice serving as models for various aspects of human alcoholism.note: the image is a t2-weighted image obtained using a 11.75 t bruker wide-bore animal scanner. images were acquired with in-plane resolution of 0.098 x 0.098 mm2, 1.0 mm slice thickness, and tr/te = 2,773/32 ms.",mri 3 weeks after surgery showing peripheral and gyriform enhancement in the area of venous infarct. the infarct is well matured and there is no mass effect,"chest x-ray, posterior-anterior view after the surgical removal of the intermediate lobe of the right lung. drain in the right pleural cavity. the postoperative chest radiograph revealed no pneumothorax.","computed tomography showing the perineal mass, partially enhanced after injection of contrast medium (arrow)"
"mri examination performed at 25 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is the implanted muscle and fascia, the enhancement is slighter than in the last mri.",t2-weighted mri of the spinal canal in the sagittal plane demonstrates a probable arachnoid cyst located anterior to the spinal cord from c2 and downwards. additional mri of the thoracic spine showed extension down to th10. the mri was performed one year after the accident.,"mri reconstruction - arrow shows a nasopharyngeal mass extending from posterior aspect of nasopharynx to the hypopharynx, significantly narrowing the oropharyngeal airway at the tongue base.",simple abdominal x-ray presents multiple dilated small bowel loops.,radiographic image of contrast-enhanced coronal computed tomography scan showing enlarged left parotid gland and well-defined irregular soft tissue enhancing lesion in right buccal space and subcutaneous tissue
sagittal t1-weighted mri of his cervical spine.,"the preoperative t2-weighted sagittal magnetic resonance spin-echo image shows high signal intensity of bone marrow in c5–c7 as well as in the outgrowth hyperostosis.note: mri did not show obvious spinal stenosis and cord compression.abbreviation: mri, magnetic resonance imaging.",axial t2w mri of the brain shows symmetric areas of hyperintensity involving the splenium of the corpus callosum (arrow),x-ray of the patient's left hip showing femoral neck fracture.,non-contrast computed tomography abdomen showing bilateral enlarged kidneys (black arrows)
"mri examination performed at 12 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is implanted muscle and fascia.",brain mri: t2-weighted images (tr/te 4000/99) showed multiple sites empty signal mainly in the left basal ganglia and ipsilateral lunate center in as in the presence of collateral vessels.,mri of esthesioneuroblastoma/inverted papilloma collision tumor. mass can be visualized in addition to inspissated secretions in the surrounding sinuses.,postoperative x-ray demonstrates bilateral temporal and occipital stimulator leads. the four arrows point to the temporal and occipital leads.,chest computed tomography: bilateral interstitial thickening and bronchiectasis in the right hemithorax.
axial t1-weighted mri post-contrast showing an anaplastic carcinoma (arrows) which is surrounding (>270°) and invading the oesophagus (arrow heads).,t2-weighted mri shows a high intensity mass (black and white arrows).,mri-coronal view showing the cystic lesion with high t2 signal.,an abdominal x-ray showing a diffuse opaque area in the upper abdomen without a gastrointestinal gas shadow; this finding was accompanied by a downward dislocation of the transverse colon,"axial computed tomography of the brain 13 days after the carotid endarterectomy, demonstrated a new infarct in the white matter of the left frontal lobe (arrow)."
t1-weighted gadolinium-enhanced mri performed 6 months after surgery showed no evidence of residual tumor.,"coronal t2-weighted mri of the abdomen in a 21-year-old man with dsrct. there is a complex lesion in the gallbladder fossa, which demonstrates a measurable soft tissue component with a peripheral myxoid degeneration. there is no direct invasion into the adjacent right lobe of liver. the soft tissue returns signal that is marginally higher than the adjacent hepatic parenchyma and isointense to the spleen, with characteristic t2 fluid signal returned from the cystic component","mri shows t1 phase with gadolinium contrast, showing a small superficial gluteal collection joining large deep subcutaneous collections in contact with the muscular fascia, associated with diffuse infiltration of the neighbouring subcutaneous tissue and the gluteus maximus muscles.",chest x-ray postero-anterior view shows bilateral lower zone consolidation with bilateral pleural effusion,"an axial computed tomography scan indicating a lesion on the right side of the mandible with thin residual bony trabeculae, and expansile invasion (arrows)."
pituitary magnetic resonance imaging (mri). hypophysis mri image shows swelling of the hypophysis stalk. a t1-weighted image shows disappearance of brightness of the posterior lobe of the hypophysis.,sagittal t2-weighted mri showing a torted pedicle of the subserosal myoma (arrow).,magnetic resonance imaging (mri) of the leg showed a tenosynovitis of posterior tibial tendon and loss of skin substance at level of the talus.,abdominal x-ray shows nonspecific gas distension in the colon.,computed tomography guided transthoracic core needle. puncture needle is in the consolidation area of right lower lobe.
case 4. t1-weighted mri showing bilateral tibial lytic lesions with reported circumferential cortical loss of nearly 50% in the diaphyseal axial plane.,"mri t2-weighted sequence, coronal plane image. congenital scoliosis from hemivertebra patient # 21. mri demonstrates convex zone deficiency in the vertebral body growth plate.",mri – prostatic abscess with pararectal extension.,chest x-ray pa view showing bilateral reticulo-nodular infiltrates,computed tomography showed an extraperitoneal soft tissue of 2.6 cm × 2.3 cm in the pelvis adjacent to the urinary bladder and extending into the right inguinal canal
"coronal t1-weighted mri (tr 472, te 9.7 ms) showing thrombus within the left transverse sinus (short arrow) and a temporal lobe cortical vein (long arrow), with swelling of the left temporal lobe (arrowheads), consistent with an infarct.",orbital mri; coronal view of t2-weighted mri hyperintense cerebrospinal fluid-intensity dilated sheath surrounding normal optic nerves (bull's eye),mri of brain with gadolinium showing overall decrease in midline shift and edema with no evidence of recurrence (arrow).,lateral x-ray of the same patient,computed tomography of abdomen (coronal view) showing right kidney mid pole mass turned out as renal cell carcinoma upon radical nephrectomy.
"t1-weighted mri, showing diffuse enlargement of the muscles of the right forearm.",t2-weighted cerebral mri scan. there are confluent white matter lesions in all cerebral lobes and signs of brain atrophy.,coronal flair mri sequence illustrates a diffuse leptomeningeal enhancement (arrows) after surgery of an epidermoid cyst of the right cerebellopontine angle,a full range of cardiac support technology. the plain chest x-ray shows a jarvik pump in the apex of the left ventricle with power cable passing through the neck to the skull pedestal. there is an implantable cardio-defibrillator and dual chamber pacemaker with additional wire for cardiac resynchronisation therapy. there are drug eluting stents in the left coronary artery. bone marrow stem cells now add a further dimension to supportive therapy.,"behcet disease in a 53-year-old woman. axial computed tomography enterography image shows focal wall thickening with a deep penetrating ulcer (arrowheads) in the terminal ileum, and mesenteric fat infiltration around the ileocecal area."
coronal t1-weighted mri image showing absence of renal tissue (arrows).,axial t2-weighted mri of brain at the level of basal ganglia showing hyper intense lesions involving bilateral globus pallidi,preoperative magnetic resonance imaging (mri) scan showing a right renal mass.,x-ray at presentation showing bilateral humerus shaft fracture in a 2-day-old neonate.,computed tomography (ct) revealed a thickened gastric wall mainly involving the pyloric region.
"postoperative t1-weighted mri demonstrates expansion of the frontal lobe reinforcing the reconstructed, basal-frontal dura","mri of the fetal head at 25 weeks of gestation. t2-weighted images show ventriculomegaly, atrophy of the cerebral parenchyma and hypoplasia of the corpus callosum.",rupture of the peroneus brevis tendon (mri oblique axial view).,abdominal x-ray (ap view) showing the needle in the region of the liver,computed tomography scan of chest at 9 years old. the bronchogenic cyst is circled.
"mri demonstrating re-grown subcutaneous fat tissue at sites of previous lipoatrophy. axial t1-weighted mri sequence (1.5 tesla magnet, body surface coil, slice thickness 3 mm) acquired through the abdomen, march 2010. markers are placed over the healed lipoatrophic area (left side), and over the biopsy scar (right side), respectively. signal intensity and subcutaneous tissue structure indicate re-grown subcutaneous fat tissue at the healed area (left side; high signal intensity, identical to that of periumbilical subcutaneous fat tissue), and fibrous tissue at the biopsy area, respectively (right side; signal intensity is only half of that of subcutaneous fat tissue).","a coronal t2-weighted mri of the head and neck region (36th week of pregnancy). the left parotid mass is seen distorting the pharynx. the outline of the heterogeneous lesion is clearly demarcated, and tissue planes preserved.",axial mr image of a patient in the primary discectomy category - mri showing extruded disc (arrow),chest x-ray: kerley-b lines and mild bilateral pleural effusion.,"computed tomography (ct) head: time of admission.non-contrasted ct of the head showing midline cerebellar intraparenchymal hemorrhage, diffuse subarachnoid hemorrhage, and ventriculomegaly."
t1-weighted sagittal image of brain mri shows a cerebellar haematoma with a hemosiderin ring suggesting subacute haemorrhage.,pre-operative axial t2-weighted mri with fat saturation showing a carcinoma in the floor of the mouth (arrows) abutting the mandible which shows mild cortical irregularity and abnormal signal in the bone marrow (arrow heads). histology showed no tumour invasion of the mandible and the abnormal signal in the marrow was caused by inflammation (case courtesy of dr kkt pak and f lam).,"in a cranial mri performed in 2006, the flair sequence revealed no pathological lesions anywhere in the brain. in particular, the right-sided supramarginal gyrus, where the cavernoma would later develop, shows no evidence of any signal alteration.",the patient's normal chest x-ray,axial computed tomography of the thorax (mediastinal window) revealed heterogenous enhancing lobulated mass in superior mediastinum compressing and occluding the superior vena cava
axial t1-weighted gadolinium-enhanced mri showing proptosis and enhancing a retrobulbar lesion involving left lacrimal gland and subcutaneous tissue,"axial, t2-weighted mri of the same patient as in fig. 6 (image courtesy of dr. marie pierre vullierme, hôpital beaujon).",mri of the brain showing foci of calcification (arrows) in bilateral basal ganglia and subcortical regions of bilateral cerebral hemispheres,abdomen plain x-ray reveals several pieces of foreign bodies.,typical high-resolution computed tomography (hrct) pattern of usual interstitial pneumonia (uip).the image shows subpleural and basal predominance of reticular opacities associated with traction bronchiectasis and honeycomb change (clustered cystic airspaces with well-defined thick walls and diameter of 0.3–1.0 cm).
t1-weighted mri axial view showing a pituitary tumor completely filling the sella in a child,"mri image of cervical ripening catheter in cesarean section patient.notes: inflated cervical ripening balloon involving cervix and proximal vagina. sagittal t2-weighted mri demonstrates inflated cervical ripening balloon transversing internal cervical os (thin arrow). proximal portion of inflated balloon (arrowhead) is localized in the cervix. distal portion of the balloon (thick arrow) is localized in vagina.abbreviation: mri, magnetic resonance imaging.",mri image of fetus with ovarian cyst.,pa chest x-ray. the left diaphragm cannot be seen. there are heterogeneous opaque areas with a lost view of parenchyma on the left,"coronal 18f-fdg pet/ct image indicating high 18f-fdg uptake in the relatively enlarged right thyroid lobe (maximum standardized uptake value of 8.8). 18f-fdg = 18f-fluorodeoxyglucose, pet/ct = positron emission tomography/computed tomography."
"mri scan image on presentation. postcontrast, fat-saturated, t1-weighted sagittal view showing homogeneous contrast uptake.",sagittal oblique t2-weighted mri of the chest showing a heterogeneously hyperintense filling defect in the inferior vena cava from the level of the renal veins into the right atrium. no hepatic mass was present.,right breast mri in the sagittal plane.the dimensions of the tumor were measured and annotated on the mri image.,chest x-ray 5 h after surgery demonstrates complete opacification of the left hemothorax with shift of the mediastinum to the right.,"computed tomography revealing right upper-lung pneumonia, the air–fluid level, and septic embolism"
"the second brain magnetic resonance imaging (mri) done on the fourth hospital day shows accentuation of leptomeningeal contrast enhancement along the sulci of both cerebral hemisphere in t1-weighted image, findings suggestive of meningitis.",mri brain t2-weighted imaging showing underlying normal brain structure.,"coronal plane of patients preoperative mri scan, demonstrating the right quadrant huge mass.",x-ray of the ankle in lateral view shows bohler's angle.,"chest computed tomography scan (june 25th, 2014) of case 2 showed central lesions in the upper right lung and middle lung mass with obstructive pneumonia. the lesions were considered to be malignant and had metastasized into the bilateral lungs. the scan showed cancerous lymphangitis, multiple lymph node metastasis, and a large amount of pleural effusion in the right lobe."
the 3d t1-weighted mri image of the pilocarpine-treated brain. yellowish white areas (arrowheads) correspond to high t1 signals.,"t2-weighted transverse magnetic resonance imaging (mri) shows multiple tortuous vessels, especially in the anterior uterine wall. ascites caused by the patient’s idiopathic portal hypertension is also present.","brain mri – a single uncharacteristic small focus in hemispheric white matter.abbreviation: mri, magnetic resonance imaging.",preoperative x-ray (flexion).,contrast enhanced computed tomography scan of the neck showing the right carotid stent occluded with no blood flow in the lumen. the carotid is surrounded by the ulcerative mass.
