Word,Count
signs,285
under,284
other,284
massive,284
vertical,283
occipital,282
cortex,282
spleen,281
some,280
masses,280
tumor.,280
grade,280
corresponding,279
hypointense,278
parietal,278
1.,277
(arrowheads),277
diagnosis,277
(arrowhead).,276
jugular,276
any,274
component,274
cysts,273
control,272
fracture.,272
screw,272
film,271
center,271
greater,271
fossa,271
these,270
clearly,269
moderate,268
us,268
destruction,268
above,268
septum,268
prominent,267
alveolar,266
pituitary,266
system,266
displaced,266
shadow,265
represents,265
teeth,264
biopsy,264
compared,264
radiolucent,263
(case,263
orbital,262
foreign,262
apex,261
liver.,260
sigmoid,260
mediastinum,259
hyperechoic,259
below,259
2.,258
atrium;,257
gadolinium,257
8,256
appears,255
foci,255
tibia,254
insertion,254
via,254
history,254
intraoperative,253
fetal,253
coupe,252
origin,252
extravasation,252
balloon,252
positron,251
patient's,251
fusion,250
hemorrhage,250
metastasis,248
final,248
esophageal,248
7,248
lytic,247
containing,247
avec,247
amount,246
uterus,246
imaging.,246
new,245
injury,245
interstitial,245
just,244
atrium.,244
caudal,243
swelling,242
material,241
structures,241
pre-operative,241
necrosis,240
x-ray.,240
(long,240
cavity.,239
approximately,239
duodenum,239
month,239
foramen,239
rib,238
oral,238
12,237
filled,237
lobes,236
previous,235
acetabular,235
pa,235
vessel,233
radial,233
iv,232
depicting,232
patent,232
only,232
(blue,232
un,231
b,231
complex,231
"view,",231
each,230
found,229
intrahepatic,229
thick,229
good,228
tricuspid,228
decreased,228
dislocation,226
opacification,225
lv,225
orthopantomogram,224
glass,224
ventral,223
peritoneal,223
including,223
detected,223
inside,223
presentation,222
epidural,222
age,221
minimal,221
treated,221
whole,221
early,220
while,219
may,218
esophagus,218
ventricle;,218
percutaneous,218
invasion,218
emphysema,218
therapy,217
radiolucency,217
visualized,217
duct.,217
veins,216
have,216
layer,216
ureter,216
effect,216
thrombosis,215
where,215
level.,215
flair,214
t2w,214
rim,214
entire,214
dose,214
"mass,",214
drainage,214
reduced,214
space.,214
lobulated,213
(short,213
compressing,212
pain,212
tracheal,212
pneumothorax,212
hilar,212
tail,211
slightly,210
picture,210
shift,210
round,209
fdg,209
inflammatory,209
cect,209
subtraction,209
quadrant,208
echocardiographic,208
ground-glass,207
removal,207
abdomen.,206
muscle.,206
segmental,205
dissection,205
impacted,205
homogeneous,205
stage,205
ring,205
corpus,205
area.,205
reformatted,205
six,205
wire,204
sacral,204
"ct,",204
duodenal,203
marrow,203
admission.,203
outer,203
disease.,202
ground,202
yellow,202
superficial,202
hrct,202
lead,201
representative,201
ill-defined,201
"image,",201
aorta.,201
inversion,201
representing,201
parallel,201
trachea,200
vertebra,200
intestinal,200
left-sided,199
axillary,199
des,199
sonogram,199
pelvis.,198
collateral,198
hernia,198
loop,197
rectus,197
medium,196
clear,196
device,196
recurrence,196
partially,196
presenting,196
rectal,195
finding,195
blue,195
measurements,195
hyperintensity,194
close,194
open,194
mixed,194
skin,194
sided,194
herniation,194
perpendicular,194
dense,193
resection,193
identified,193
relation,193
enhancement.,193
patchy,193
active,193
erosion,193
target,192
noncontrast,192
joint.,191
collapse,191
inner,191
treatment.,190
opg,190
attached,190
clinical,190
recurrent,190
boy,190
double,189
colon.,189
sinus.,189
outflow,188
change,188
branches,188
parenchymal,187
surrounded,187
cut,187
selective,187
rupture,187
carcinoma.,187
à,187
edge,187
margins,186
(arrowheads).,185
several,185
plane.,185
1:,185
muscles,184
inserted,184
distribution,184
papillary,184
contour,183
segments,183
illustrating,183
height,183
non-contrast,183
out,183
hand,182
homogenous,182
across,182
shunt,182
recovery,182
extent,182
width,182
later,181
high-resolution,181
metastases,181
course,181
distended,181
ivc,181
when,180
about,179
(mri),179
retinal,179
ii,178
ct-scan,178
occupying,178
drawn,178
humeral,178
parotid,177
heterogeneously,177
local,177
(c),177
very,177
giant,176
caused,176
almost,176
osteolytic,176
3d,176
ray,176
mri.,175
four-chamber,175
(coronal,175
characteristic,175
contrast.,175
atrophy,175
hyperdense,175
compatible,174
immediately,174
expansion,174
diaphragm,173
ankle,173
posteroanterior,172
leakage,172
originating,172
valve.,172
post-contrast,172
patient’s,171
embolization,171
result,170
group,170
bronchus,169
9,169
confirming,169
field,169
bone.,168
features,168
interest,168
membrane,168
artery;,168
levels,167
scale,167
circumflex,167
radiographie,167
lungs,167
done,166
(thin,166
ct.,166
sheath,166
"wall,",166
huge,166
ultrasonographic,166
observed.,166
(small,166
"scan,",165
our,165
infiltrates,165
cyst.,165
wrist,164
intraoral,164
fractures,164
bladder.,164
cartilage,164
bones,164
follow,164
fundus,163
scans,163
similar,162
sclerosis,162
lad,162
different,162
tear,162
subdural,162
edema.,162
radiopaque,161
t1w,161
rectum,161
predominantly,160
foot,160
delayed,160
completely,160
rv,160
fourth,159
transvaginal,159
(thick,159
fragment,159
operative,159
oval,159
advanced,158
capsule,158
position.,158
stone,157
persistent,157
optical,157
sphenoid,157
soft-tissue,157
smooth,157
pet,157
tdm,157
stricture,156
could,156
perforation,155
computer,155
flap,155
head.,155
mm.,155
cavernous,154
intense,154
articular,154
throughout,154
(solid,154
intracranial,154
anteriorly,153
malignant,153
radiation,152
because,152
metallic,152
obstruction.,152
reconstructed,152
spine.,152
vertebrae,152
necrotic,152
postcontrast,151
present.,151
fetus,151
ovarian,151
bilaterally,151
dilation,151
increase,151
child,150
acoustic,150
positioned,150
fatty,150
diffusion,150
condyle,149
resorption,149
gastrointestinal,149
lymphadenopathy,149
previously,149
2d,149
le,148
cross-sectional,148
evident,148
inguinal,148
i,148
girl,147
ratio,147
markedly,147
20,147
urethra,146
radiological,146
immediate,145
premolar,145
fluorescein,145
(axial,145
pet/ct,145
implanted,145
shape,145
neck.,145
healing,144
ramus,144
lesions.,144
late,144
inflammation,144
presentation.,144
maxilla,144
pancreas.,144
2:,144
suspicious,143
arrow:,143
(asterisk),143
towards,143
coherence,143
represent,143
further,143
additional,142
trunk,142
anatomical,142
gland.,142
pedicle,142
coil,142
metal,142
being,142
(curved,142
gauche,142
contact,141
underwent,141
line),141
successful,141
repeat,141
(not,141
tissues,140
evaluation,140
stem,140
few,140
cm.,140
extended,140
facet,140
noted.,139
slight,139
orbit,139
findings.,139
green,139
heterogenous,139
leaflet,139
stir,139
psoas,139
(the,139
floor,139
tissue.,139
intact,139
celiac,139
improvement,138
myocardial,138
sclerotic,138
line.,138
demonstrate,138
permission,138
fluoroscopy,137
humerus,137
angiographic,137
administration,137
sonographic,137
occlusal,136
dental,136
ruptured,136
ectopic,136
kidneys,136
pubic,136
arteries.,135
prosthesis,135
injury.,135
diverticulum,135
syndrome,135
sized,135
hospital,135
c2,135
communication,135
localized,135
deformity,134
still,134
infarction,134
abscess.,134
fig.,134
major,134
"arrows),",133
subarachnoid,133
numerous,133
his,133
sinuses,133
week,132
patients,132
suspected,132
prostate,132
fat-suppressed,132
11,132
anechoic,132
ascites,132
body.,132
pathological,131
smaller,131
procedure,131
possible,131
overlying,131
passing,131
two-dimensional,131
cava.,131
underlying,131
air-fluid,131
method,130
"mri,",130
left.,130
(large,130
iii,129
widening,129
cancer.,129
"muscle,",129
urethral,129
syndrome.,129
multilocular,129
15,128
basilar,128
bronchial,128
intervertebral,128
positive,128
implantation,128
defects,128
focus,127
"1,",127
incisor,127
antero-posterior,127
subcortical,127
contralateral,127
walls,126
roots,126
depicts,126
permanent,126
aspiration,126
(patient,126
ossification,126
index,125
cross,125
bifurcation,125
18,125
"lesion,",125
clavicle,125
colonic,125
elbow,125
"however,",124
communicating,124
patellar,124
anomalous,124
respectively.,124
la:,124
simple,124
aneurysm.,124
cells,124
shaft,124
mucosal,124
gestational,124
limb,124
hemithorax,123
unenhanced,123
apparent,123
face,123
absent,123
protruding,123
bleeding,123
relative,123
hydronephrosis,122
x-rays,122
leak,122
accumulation,122
lv:,122
view).,122
"lobe,",122
(green,122
isodose,122
gross,122
3.,121
screws,121
repair,121
endometrial,121
oedema,121
normal.,121
obvious,121
another,121
deviation,121
her,121
ulnar,120
guide,120
retained,120
bodies,120
abnormality,120
"abdomen,",120
stomach.,120
fat-saturated,120
probe,119
pressure,119
displacing,119
direct,119
facial,119
growth,119
mandible.,119
ablation,119
window),118
made,118
lesser,118
brachial,118
resulting,118
popliteal,118
thigh,118
(*),118
cxr,118
rca,118
"large,",118
reference,117
"patient,",117
duodenum.,117
radius,117
(marked,117
"(arrows),",116
fused,116
based,116
related,116
bronchiectasis,116
ercp,116
true,116
femur.,115
operation,115
behind,115
median,115
scan:,115
abutting,115
interventricular,115
cholangiopancreatography,115
:,115
sacroiliac,115
posteriorly,115
fistula.,115
drain,114
angiography.,114
band,114
false,114
canine,114
planning,114
rv:,114
hematoma.,114
sonography,114
analysis,114
visualization,114
ducts,114
calculated,114
dural,114
13,113
short-axis,113
less,113
glenoid,113
activity,113
angle.,113
intramedullary,113
stenosis.,113
shown.,113
stranding,112
likely,112
conventional,112
diaphragmatic,112
invading,112
number,112
affected,112
nodes.,112
long-axis,112
infarct,112
fixed,112
lungs.,112
"2,",112
eus,112
ventricles,112
depth,112
appearance.,112
periventricular,112
intraluminal,112
occluded,111
outline,111
therapy.,111
14,111
according,111
spaces,111
"vein,",111
fields,111
terminal,111
buccal,111
leg,111
compressed,111
borders,111
beam,111
hydatid,111
orthopantomograph,110
modified,110
hours,110
we,110
situ,110
three-dimensional,110
ductal,110
does,110
relatively,110
acquired,110
ileum,110
ethmoid,110
standard,110
1),110
congenital,110
solitary,109
choroidal,109
bowel.,109
interval,109
sella,109
perfusion,109
echogenicity,109
opening,108
mm),108
draining,108
value,108
arrowhead),108
lack,108
formed,108
c,108
developed,108
wide,108
then,107
anterior-posterior,107
larger,107
cavitary,107
right.,107
scattered,107
expansile,107
rounded,107
invasive,107
symptoms,107
30,107
thinning,106
like,106
fifth,106
(left,106
mildly,106
ipsilateral,106
roi,106
canal.,106
(dotted,106
did,106
anastomosis,106
alignment,106
joints,106
catheter.,106
accessory,106
thoracique,105
hypoplastic,105
"liver,",105
lumbosacral,105
pointing,105
fractured,105
airway,105
sign.,105
photograph,105
periosteal,105
circle,105
minor,105
extends,105
mip,105
lying,105
half,105
spleen.,105
au,105
"aorta,",104
implants,104
images.,104
values,104
agent,104
operation.,104
vegetation,104
(open,104
cement,104
bright,104
haematoma,104
replacement,104
highly,104
toward,104
revision,104
malformation,104
mdct,103
circumferential,103
ribs,103
tubular,103
cardiomegaly,103
hemorrhagic,103
patella,103
intermediate,103
benign,103
arteriovenous,103
gall,103
series,102
horn,102
feeding,102
full,102
multifocal,102
outside,102
bubbles,102
diameter.,102
intraperitoneal,102
c7,102
plexus,101
hip.,101
caudate,101
injected,101
usg,101
"contrast,",101
largest,101
callosum,101
regurgitation,101
osteotomy,101
arrow.,101
connecting,100
mural,100
separate,100
cm),100
breast.,100
intestine,100
shaped,100
atelectasis,100
"region,",99
chemotherapy,99
scanning,99
hilum,99
tomogram,99
l5,99
endplate,99
five,98
mechanical,98
perinephric,98
cord.,98
nucleus,98
hypoplasia,98
tract.,98
synovial,98
visible.,98
decrease,98
phase.,98
months.,98
intussusception,98
24,98
ra,98
(indicated,98
migration,97
2),97
hypertrophy,97
well-circumscribed,97
intercostal,97
fine,97
colour,97
artifact,97
closure,97
ultrasonogram,97
parenchyma.,97
diagnostic,97
hernia.,97
appear,97
3rd,97
head),97
ra:,96
(right,96
displaying,96
view:,96
mrcp,96
disruption,96
spread,96
technique,96
data,96
obliteration,95
metatarsal,95
après,95
system.,95
considered,95
degenerative,95
"lv,",95
appendix,95
d,95
masse,95
(dashed,95
unilocular,95
back,95
narrow,94
posterolateral,94
fibrosis,94
cholangiogram,94
determined,94
beyond,94
lobes.,94
enema,94
site.,94
b),94
droit,94
place,93
parts,93
brachiocephalic,93
changes.,93
disappearance,93
irm,93
reaction,93
"cm,",93
low-density,93
iopa,93
h,93
map,93
1).,93
roentgenogram,92
osseous,92
(sagittal,92
emergency,92
ultrasound.,92
scar,92
elevated,92
pneumonia,92
junction.,92
direction,92
mesial,92
echocardiography.,92
pseudoaneurysm.,92
form,92
fossa.,92
follow-up.,92
pain.,92
continuous,92
involved,91
infiltrating,91
jejunal,91
known,91
subpleural,91
calculus,91
(asterisk).,91
fluid.,91
original,91
scanner,90
indicative,90
ganglia,90
proton,90
maximal,90
"rv,",90
plan,90
droite,90
collapsed,90
slide],90
having,90
medullary,90
supine,90
assessment,90
study.,90
ovary,90
section),90
marginal,89
a:,89
subchondral,89
top,89
fibrous,89
respiratory,89
vessels.,89
[powerpoint,89
reveal,89
views,89
dynamic,89
positioning,89
spontaneous,89
collaterals,89
results,89
thrombus.,88
block,88
suture,88
covered,88
metastasis.,88
b:,88
venogram,88
he,88
"mm,",88
non,88
esophagus.,88
lamina,88
confirms,88
straight,88
laterally,88
umbilical,88
arrowhead).,88
hypervascular,88
regression,88
defect.,88
higher,88
multiplanar,88
macular,87
irregularity,87
media,87
passage,87
bar,87
dotted,87
union,87
canals,87
fast,87
cta,87
arm,87
no.,87
hemorrhage.,87
ureteral,86
periphery,86
mucosa,86
progression,86
c5,86
submandibular,86
scrotal,86
shadows,86
"la,",86
anatomy,86
4th,86
paranasal,86
pneumomediastinum,86
thickening.,86
components,86
stent.,85
calcific,85
process.,85
gadolinium-enhanced,85
nerve.,85
tongue,85
stable,85
traction,85
testis,85
failure,85
sides,85
transabdominal,85
down,85
lingual,85
anatomic,85
cephalometric,85
extremity,84
pseudocyst,84
aberrant,84
electrode,84
their,84
swallow,84
combined,84
molars,84
pleura,84
chest.,84
reticular,84
stones,84
onset,84
crossing,84
mobile,84
healthy,84
subtle,84
evident.,84
septum.,84
tracking,83
pregnancy,83
trauma,83
"surgery,",83
+,83
distension,83
interlobular,83
leading,83
"well-defined,",83
velocity,83
injection.,83
"effusion,",83
guidewire,83
vaginal,83
circumscribed,83
development,83
courtesy,83
a),83
phalanx,83
metacarpal,82
lens,82
"tomography,",82
abnormalities,82
now,82
significantly,82
unilateral,82
dark,82
cerebrospinal,82
subcapsular,82
(1),82
os,82
axiale,81
submucosal,81
bullet,81
hemithorax.,81
sparing,81
tortuous,81
curvature,81
puncture,81
sac.,81
rotation,81
cone,81
2nd,81
connection,81
formation.,81
collection.,81
content,81
agenesis,80
generalized,80
pneumothorax.,80
c6,80
acetabulum,80
confluence,80
mediastinum.,80
tibia.,80
appearing,80
4-chamber,80
degree,80
notice,80
reconstruction.,80
baseline,80
medially,80
nail,80
opacities.,80
closed,80
achilles,80
,80
poor,80
luminal,80
thrombosis.,79
hemisphere,79
densities,79
intra-abdominal,79
adenocarcinoma,79
approach,79
plaque,79
traumatic,79
superimposed,79
petrous,79
intramural,79
gradient,79
finger,79
oct,79
arrows.,79
(see,79
pouch,79
stress,79
image:,79
x-ray:,78
surface.,78
see,78
grey,78
symmetrical,78
gestation,78
motion,78
dysplasia,78
sacrum,78
lumen.,78
l1,78
section.,78
poorly,78
forearm,78
hyperintensities,78
deployment,78
paraspinal,78
herniated,78
gray,78
systolic,78
omental,78
(2),78
catheterization,77
ileal,77
calcification.,77
tee,77
tumour.,77
mammogram,77
metastases.,77
line).,77
2).,77
cbd,77
elevation,77
fibula,77
if,77
zones,77
"line,",77
interatrial,77
(b).,77
fields.,77
arthroplasty,77
16,76
auditory,76
improved,76
off,76
such,76
aneurysmal,76
bilaterally.,76
infection,76
sagital,76
midesophageal,76
aorta;,76
"ra,",76
fascia,76
anterolateral,76
coils,76
bulging,76
decompression,76
e,76
centre,76
correct,76
"sinus,",76
shadowing,75
limited,75
17,75
tunnel,75
response,75
relationship,75
missing,75
angiogram.,75
standing,75
muscles.,75
mastoid,75
(ap),75
"kidney,",75
21,75
ear,75
saggital,75
recess,75
symphysis,74
pacemaker,74
examination.,74
structures.,74
size.,74
c1,74
22,74
spin,74
infiltrative,74
diffusely,74
woman.,74
mainly,74
patency,74
angles,74
entry,74
lies,74
ovoid,74
entering,74
heart.,74
prosthetic,74
1.5,74
sections,74
subsequent,74
measures,74
al.,74
epicardial,74
suprasellar,74
procedure.,73
cortex.,73
endovascular,73
pretreatment,73
depicted,73
vertebra.,73
remnant,73
column,73
flow.,73
inhomogeneous,73
bubble,73
planes,73
will,73
knee.,73
supraspinatus,73
arteriography,73
centrilobular,73
25,73
year-old,73
ascites.,73
completion,72
dislocation.,72
front,72
hypermetabolic,72
radio-opaque,72
compartment,72
vascularity,72
skeletal,72
described,72
removed,72
4.,72
2.5,72
negative,72
"3,",72
mammary,72
involvement.,72
(double,72
b-scan,72
condylar,72
cephalogram,72
niveau,72
"x-ray,",71
frame,71
tomography-computed,71
uterus.,71
appeared,71
remaining,71
crown,71
illustration,71
portable,71
silhouette,71
"tumor,",71
lymphoma.,71
ica,71
infant,71
healed,71
adequate,71
contraste,71
narrowed,71
36,71
isointense,71
transducer,71
fully,71
dome,71
"radiograph,",71
empty,71
loculated,71
notch,71
"angle,",71
lymphoma,70
pet-ct,70
stromal,70
they,70
tumors,70
incomplete,70
neural,70
carpal,70
native,70
mesentery,70
dimension,70
eccentric,70
curved,70
ct:,70
radiography.,70
parasagittal,70
mean,70
measure,70
45-year-old,70
dashed,70
segment.,70
separated,70
sign”,70
transplant,70
"plane,",70
supernumerary,69
placement.,69
levels.,69
despite,69
csf,69
fistulous,69
dsa,69
regular,69
pericardium,69
layers,69
great,69
sample,69
quadrant.,69
arteriogram,69
flexor,69
cbct,69
situ.,69
radiotherapy,69
t,69
3:,69
urography,69
should,69
"pelvis,",68
progressive,68
vitreous,68
dilatation.,68
ao,68
pathologic,68
subluxation,68
pneumonia.,68
hyper,68
peripancreatic,68
septa,68
broken,68
dimensions,68
brain.,68
"neck,",68
intraventricular,68
mra,68
ureter.,68
boundary,68
post-treatment,67
obstructive,67
severely,67
"space,",67
cerebellum,67
cholangiography,67
displayed,67
hips,67
set,67
"diameter,",67
field.,67
lymphadenopathy.,67
shown).,67
postoperatively,67
(in,67
tiny,67
function,67
component.,66
saturation,66
supraclavicular,66
visceral,66
(lateral,66
upon,66
flexure,66
iliopsoas,66
muscular,66
pattern.,66
"chest,",66
antrum,66
(straight,66
globe,66
access,66
"a,",66
selected,66
do,66
trochanter,66
(3),66
incisors,65
infarction.,65
anal,65
osteolysis,65
prostatic,65
(a,65
tracer,65
adenoma,65
paravertebral,65
approach.,65
stents,65
outlined,65
"duct,",65
last,65
proper,65
cine,65
embolization.,65
sites,65
"head,",65
(d),65
ostium,65
man.,65
diaphragm.,64
gap,64
directly,64
annulus,64
morphology,64
isolated,64
gallbladder.,64
sequence.,64
diffusion-weighted,64
spinous,64
accompanied,64
destructive,64
abscesses,64
infected,64
effusions,64
configuration,64
testicular,64
intra,64
osteomyelitis,64
reaching,64
giving,64
image),64
laparoscopic,64
jet,64
deployed,64
peak,64
sma,64
fragments,64
edematous,64
light,63
attenuated,63
muscularis,63
proven,63
pathology,63
cervix,63
pulp,63
odontoid,63
case.,63
use,63
crest,63
scapular,63
abdominis,63
protrusion,63
retropharyngeal,63
fissure,63
degeneration,63
50-year-old,63
thorax.,63
fluid-filled,63
hemidiaphragm,63
veins.,63
v,63
brainstem,63
software,63
asymptomatic,62
punctate,62
contours,62
continuity,62
pons,62
medical,62
muscle;,62
subcostal,62
plateau,62
"side,",62
adnexal,62
specimen,62
suggests,62
identified.,62
50%,62
nearly,62
"cavity,",62
b.,62
areas.,62
suppression,62
dye,62
"imaging,",62
s1,62
status,62
atrioventricular,62
40,62
18f-fdg,61
recurrence.,61
fluid-attenuated,61
discrete,61
distally,61
localization,61
myocardium,61
prosthesis.,61
avulsion,61
slices,61
radiofrequency,61
addition,61
transition,61
collections,61
tendon.,61
insertion.,61
"thickening,",61
parapharyngeal,61
elongated,61
cannula,61
pre,61
detachment,61
pharyngeal,61
avid,61
t12,61
biceps,61
endotracheal,61
ulna,60
joints.,60
"small,",60
ophthalmic,60
posterior-anterior,60
guided,60
thalamus,60
jejunum,60
hard,60
molar.,60
"valve,",60
window.,60
hepatocellular,60
fat.,60
cage,60
excision,60
especially,60
epiphysis,60
perirenal,60
adult,60
obstructing,60
varices,60
medulla,60
score,60
definite,60
trauma.,60
again,60
centered,60
19,60
starting,60
ends,60
branching,60
bulky,60
60-year-old,60
reported,60
signals,59
avascular,59
aortogram,59
concentric,59
erect,59
mucinous,59
mimicking,59
capsular,59
consolidation.,59
stump,59
radiologic,59
l3,59
opaque,59
application,59
included,59
40-year-old,59
bed,59
scoliosis,59
lucency,59
reflux,59
airspace,59
urogram,59
iris,59
a.,59
necrosis.,59
prevertebral,59
ischemic,59
"bone,",59
implant.,59
pneumatosis,59
venography,58
par,58
restoration,58
illustrates,58
35,58
affecting,58
abdominopelvic,58
palate,58
3.5,58
penetrating,58
dysplastic,58
vertebrae.,58
compression.,58
contents,58
"spine,",58
mode,58
echoic,58
incidental,58
correction,58
eight,58
bypass,58
saccular,58
adipose,58
sciatic,58
tree,58
mca,58
tumoral,57
dislocated,57
sternal,57
spot,57
graft.,57
difference,57
"body,",57
deposits,57
b-mode,57
arrowhead,57
asymmetric,57
extrahepatic,57
next,57
regional,57
sequences,57
paratracheal,57
she,57
antegrade,57
supply,57
